,Showem Simon,Dont Yoube Naughty,Beau Hart,Bella Godiva,Just One Good One Nz,Trioli,Non Passare,Rocco Variety,Subtle Advice
12-01-2023 13:56:47.554334,"(20.0, 44.0, 38.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.6, 7.55)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.385714285714286)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:48.879748,"(20.0, 44.0, 38.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.6, 7.6571428571428575)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.385714285714286)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:50.256001,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.4, 7.6571428571428575)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.385714285714286)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:51.646029,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.4, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.385714285714286)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:52.925404,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.385714285714286)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:54.338029,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.385714285714286)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:55.685502,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.385714285714286)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:56.875936,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.575)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:58.070441,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.575)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:56:59.441736,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.575)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:00.740519,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.575)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:02.133901,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.575)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:03.547972,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.575)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:04.920078,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:06.247108,"(20.0, 44.0, 30.0)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:07.623784,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:08.955933,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:10.129431,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:11.371979,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:12.701278,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:13.956130,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:15.149185,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:16.468032,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:17.949708,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 10.166666666666666)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:19.548116,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.625)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:21.072854,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.625)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:22.601102,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:23.943326,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:25.368071,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:26.739931,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:27.957189,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:29.180582,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:30.462343,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:32.027760,"(20.0, 44.0, 36.8)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:33.313199,"(20.0, 44.0, 36.8)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:34.515026,"(20.0, 44.0, 36.8)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:35.875500,"(20.0, 44.0, 36.8)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:37.194704,"(20.0, 44.0, 36.8)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:38.503342,"(20.0, 44.0, 30.666666666666668)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:39.801329,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:41.080286,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:42.398011,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:43.776669,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:45.042765,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
12-01-2023 13:57:46.280761,"(20.0, 44.0, 37.333333333333336)","(101.0, 220.0, 160.0)","(101.0, 220.0, 166.66666666666666)","(5.0, 8.2, 7.514285714285714)","(1.95, 99999, 99990)","(7.5, 12.0, 10.4)","(7.0, 12.0, 8.577777777777778)","(8.0, 12.5, 11.557142857142857)","(6.5, 10.0, 9.133333333333333)"
