,Bear Bonus,Billy Nailer,Shaquille,Authority,Stylish Rico,Alpha Ruler,Hendy,Bert And Kenny
14-12-2022 12:36:14.096451,"(3.4, 5.1, 4.375)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 12.725)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:15.524213,"(3.4, 5.1, 4.375)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 12.725)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:16.884244,"(3.4, 5.1, 4.4)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 10.95)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:18.239913,"(3.4, 5.1, 4.340625)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 11.05)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:19.688505,"(3.4, 5.1, 4.340625)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 11.05)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:21.207147,"(3.4, 5.1, 4.340625)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 11.05)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:22.735184,"(3.4, 5.1, 4.340625)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 11.05)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:24.035313,"(3.4, 5.1, 4.340625)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 11.05)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:25.511421,"(3.4, 5.1, 4.340625)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 11.05)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:26.930835,"(3.4, 5.1, 4.340625)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.457142857142859)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:28.439008,"(3.4, 5.1, 4.264285714285714)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:29.897911,"(3.4, 5.1, 4.396875)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:31.236689,"(3.4, 5.1, 4.396875)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:32.645665,"(3.4, 5.1, 4.396875)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:33.931911,"(3.4, 5.1, 4.396875)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:35.115766,"(3.4, 5.1, 4.396875)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:36.526518,"(3.4, 5.1, 4.396875)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:37.938698,"(3.4, 5.1, 4.396875)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.5588235294117645)","(11.0, 25.0, 16.944444444444443)"
14-12-2022 12:36:39.270701,"(3.4, 5.1, 4.396875)","(5.5, 9.2, 8.657142857142857)","(4.0, 8.4, 7.828571428571429)","(61.0, 540.0, 365.0)","(7.5, 14.5, 13.68888888888889)","(51.0, 410.0, 106.66666666666666)","(3.0, 4.5, 3.409090909090909)","(11.0, 25.0, 16.944444444444443)"
