,Rich Link,Hidden Agenda,Shaye,Thatll Do Neo,Blue Hornet,Just Like Mick,Run West,Milligan
12-01-2023 18:41:58.608592,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:41:59.969516,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:42:01.589451,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:42:02.891465,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:42:04.225007,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:42:05.525337,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:42:06.820543,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:42:08.046575,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:42:09.309416,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
12-01-2023 18:42:10.668852,"(3.9, 5.7, 5.116666666666667)","(6.5, 11.0, 9.0)","(3.7, 5.5, 4.5)","(41.0, 350.0, 194.0)","(5.0, 7.6, 6.925)","(12.0, 32.0, 20.125)","(101.0, 610.0, 521.6666666666666)","(3.2, 5.1, 4.6)"
