,Russian Berry,Black Compass,Aston Samba,Rear View Mirror,Zilker Park,Kaheem Bale,Meteor Monelli,Call Me Marley
06-01-2023 16:09:47.714711,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:48.780906,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:49.882492,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:51.069869,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:52.217386,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:53.373677,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:54.561404,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:55.748327,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:56.890898,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:58.121103,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:09:59.268333,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:00.477619,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:01.617786,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:02.766456,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:03.961831,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:05.030295,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:06.149151,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:07.287008,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:08.430196,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:09.501389,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:10.563321,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:11.642415,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:12.684123,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:13.752196,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:14.890294,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:15.979642,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:17.070284,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:18.177106,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:19.353525,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:20.518785,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:21.671024,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:22.836427,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:24.025395,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:25.108626,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:26.180144,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:27.274384,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
06-01-2023 16:10:28.332061,"(3.9, 7.6, 5.353571428571429)","(2.6, 4.2, 2.7272727272727275)","(19.0, 70.0, 53.59375)","(13.0, 36.0, 28.0)","(21.0, 120.0, 71.5)","(10.0, 11.5, 10.333333333333334)","(10.0, 20.0, 19.28)","(3.3, 4.7, 3.395)"
