,Ravioli,Awesome Fred,Tralee Doll,Bundy Rose,Shimmy Debacle,Little Olivia,Full Of Zip,Hidden Houdini
04-01-2023 11:20:49.091726,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.4, 6.423255813953489)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:50.253209,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.4, 6.423255813953489)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:51.447654,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.4, 7.129411764705882)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:52.592616,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 7.129411764705882)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:53.757185,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 7.129411764705882)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:54.826826,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 7.129411764705882)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:55.886413,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:56.914545,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:57.937105,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:20:58.971897,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:00.028785,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:01.040129,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:02.040826,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:03.025719,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:04.013671,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:04.988281,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
04-01-2023 11:21:06.010006,"(1.95, 3.05, 2.0205555555555557)","(41.0, 320.0, 178.0)","(3.8, 7.4, 5.296296296296297)","(31.0, 85.0, 52.22222222222222)","(101.0, 650.0, 372.5)","(4.4, 7.6, 6.293877551020408)","(14.0, 48.0, 34.041666666666664)","(6.0, 11.0, 9.28125)"
