,Danish Prince,Tympanist,Green Shadows,Wategos,Wineglass Bay,Semana
07-01-2023 11:21:55.497590,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:21:56.525142,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:21:57.638039,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:21:58.743669,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:21:59.765568,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:00.642985,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:01.537275,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:02.555710,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:03.597125,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:04.615346,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:05.563176,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:06.662994,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:07.628861,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:08.499171,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:09.456081,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:10.480265,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:11.511422,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
07-01-2023 11:22:12.564597,"(9.0, 12.5, 10.53125)","(9.0, 11.5, 9.441176470588236)","(2.4, 2.96, 2.87)","(10.0, 14.0, 12.25)","(4.8, 7.2, 6.372727272727273)","(3.9, 5.1, 4.683333333333333)"
