,Bundy Traveller,Stuck In Mud,Miss Maggie May,Abby Road,Zambora Blaster,Pure Devil,Gagan Singlets,Sadie Seahorse
04-01-2023 11:35:56.622676,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:35:57.683680,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:35:58.822466,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:35:59.922332,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:00.991825,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:02.078370,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:03.152245,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:04.203458,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:05.264142,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:06.341300,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
04-01-2023 11:36:07.428387,"(2.1, 3.05, 2.1942307692307694)","(8.5, 21.0, 17.789473684210527)","(19.0, 70.0, 46.59090909090909)","(19.0, 50.0, 35.0)","(7.5, 15.0, 12.645454545454545)","(10.0, 19.0, 18.25)","(6.0, 13.5, 11.616129032258065)","(4.6, 9.2, 8.670588235294117)"
