,Special Zamba,Bebop Giblet,Aston Senator,Pattern,Rixi Bale,Inga Izzy
0,"[datetime.datetime(2022, 11, 28, 14, 5, 21, 970116), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 21, 970116), 4.0, 5.6]","[datetime.datetime(2022, 11, 28, 14, 5, 21, 970116), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 21, 970116), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 21, 970116), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 21, 970116), 5.0, 15.5]"
1,"[datetime.datetime(2022, 11, 28, 14, 5, 23, 75733), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 75733), 4.0, 5.6]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 75733), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 75733), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 75733), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 23, 75733), 5.0, 15.5]"
2,"[datetime.datetime(2022, 11, 28, 14, 5, 24, 184671), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 184671), 4.0, 5.8]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 184671), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 184671), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 184671), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 24, 184671), 5.0, 15.5]"
3,"[datetime.datetime(2022, 11, 28, 14, 5, 25, 281082), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 281082), 4.0, 5.8]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 281082), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 281082), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 281082), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 25, 281082), 5.0, 15.5]"
4,"[datetime.datetime(2022, 11, 28, 14, 5, 26, 380914), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 380914), 4.0, 5.8]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 380914), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 380914), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 380914), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 26, 380914), 5.0, 15.5]"
5,"[datetime.datetime(2022, 11, 28, 14, 5, 27, 482282), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 482282), 4.0, 5.8]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 482282), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 482282), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 482282), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 27, 482282), 5.0, 15.5]"
6,"[datetime.datetime(2022, 11, 28, 14, 5, 28, 578910), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 28, 578910), 4.0, 5.8]","[datetime.datetime(2022, 11, 28, 14, 5, 28, 578910), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 28, 578910), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 28, 578910), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 28, 578910), 5.0, 15.5]"
7,"[datetime.datetime(2022, 11, 28, 14, 5, 29, 686984), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 686984), 4.0, 5.8]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 686984), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 686984), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 686984), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 29, 686984), 5.0, 15.5]"
8,"[datetime.datetime(2022, 11, 28, 14, 5, 30, 789335), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 789335), 4.0, 5.8]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 789335), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 789335), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 789335), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 30, 789335), 5.0, 15.5]"
9,"[datetime.datetime(2022, 11, 28, 14, 5, 31, 888293), 5.0, 8.8]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 888293), 4.0, 5.8]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 888293), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 888293), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 888293), 2.1, 3.05]","[datetime.datetime(2022, 11, 28, 14, 5, 31, 888293), 5.0, 15.5]"
