,Greek Flame,Greek Temptation,Typhoon Nellie,Sketchy Russ,Winlock Augustus,Be Good Beach,Stinger Casey,Winlock Too Much
05-01-2023 15:21:47.630798,"(5.5, 10.5, 9.1125)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:48.789687,"(5.5, 10.5, 9.1125)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:49.907269,"(5.5, 10.5, 9.1125)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:51.123367,"(5.5, 10.5, 9.1125)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:52.317924,"(5.5, 10.5, 9.1125)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:53.464098,"(5.5, 10.5, 9.1125)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:54.494509,"(5.5, 10.5, 9.1125)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:55.539251,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:56.629808,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:57.763685,"(5.5, 10.5, 8.657142857142857)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:58.829886,"(5.5, 10.5, 8.657142857142857)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:21:59.836211,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:00.871008,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:02.011700,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:03.155940,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:04.314884,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:05.397142,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:06.414704,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:07.492036,"(5.5, 10.5, 7.275)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 11.8)","(5.0, 8.4, 7.866666666666667)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.1, 4.666666666666666)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:08.715669,"(5.5, 9.2, 7.1000000000000005)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.485714285714286)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.0, 4.1692307692307695)","(8.5, 16.0, 11.066666666666666)"
05-01-2023 15:22:09.942629,"(5.5, 9.8, 7.1000000000000005)","(7.0, 16.0, 10.666666666666666)","(7.5, 15.0, 10.040000000000001)","(5.0, 8.4, 7.485714285714286)","(31.0, 210.0, 101.6923076923077)","(3.9, 4.3, 4.204545454545454)","(3.6, 5.0, 4.35)","(8.5, 16.0, 11.066666666666666)"
