,Gray Royality,Blanquita Nieve,Rose Knows,Out Ona Limb,Mind Your Own,Chargina,Perfect Limit
14-12-2022 11:56:19.933774,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.98, 2.94)","(51.0, 980.0, 273.5)","(3.3, 4.2, 3.9)","(4.8, 5.4, 5.185714285714286)","(14.0, 25.0, 20.166666666666668)"
14-12-2022 11:56:20.950670,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.98, 2.94)","(51.0, 980.0, 273.5)","(3.3, 4.2, 3.9)","(4.8, 5.4, 5.2)","(14.0, 24.0, 20.166666666666668)"
14-12-2022 11:56:21.886778,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.94, 2.9329411764705884)","(51.0, 980.0, 273.5)","(3.3, 4.2, 3.9)","(4.8, 5.4, 5.2)","(14.0, 24.0, 20.166666666666668)"
14-12-2022 11:56:22.824785,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.94, 2.9329411764705884)","(51.0, 980.0, 273.5)","(3.3, 4.2, 3.9)","(4.8, 5.4, 5.2)","(14.0, 24.0, 20.166666666666668)"
14-12-2022 11:56:23.837438,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.94, 2.9066666666666667)","(51.0, 980.0, 273.5)","(3.3, 4.2, 4.007142857142857)","(4.8, 5.4, 5.2)","(14.0, 24.0, 20.166666666666668)"
14-12-2022 11:56:24.868138,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.94, 2.9066666666666667)","(51.0, 980.0, 273.5)","(3.3, 4.2, 3.99)","(4.8, 5.4, 5.2)","(14.0, 24.0, 18.25)"
14-12-2022 11:56:25.788781,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.94, 2.9066666666666667)","(51.0, 980.0, 273.5)","(3.3, 4.2, 3.99)","(4.8, 5.4, 5.2)","(14.0, 24.0, 18.25)"
14-12-2022 11:56:26.883503,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.94, 2.914285714285714)","(51.0, 980.0, 698.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 16.0)"
14-12-2022 11:56:27.992476,"(9.0, 14.0, 13.028571428571428)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.94, 2.914285714285714)","(51.0, 980.0, 417.2)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 16.0)"
14-12-2022 11:56:29.128054,"(9.0, 14.0, 12.64)","(12.0, 19.5, 15.61111111111111)","(2.3, 2.94, 2.914285714285714)","(51.0, 980.0, 417.2)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 16.0)"
14-12-2022 11:56:30.193878,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.75)","(2.3, 2.94, 2.914285714285714)","(51.0, 980.0, 417.2)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 16.0)"
14-12-2022 11:56:31.181816,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.75)","(2.3, 2.94, 2.9306666666666668)","(51.0, 980.0, 417.2)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 16.0)"
14-12-2022 11:56:32.225151,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.75)","(2.3, 2.94, 2.9306666666666668)","(51.0, 980.0, 417.2)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 16.42857142857143)"
14-12-2022 11:56:33.458594,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.94, 2.8823529411764706)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:34.574388,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8823529411764706)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:35.614732,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8657142857142857)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:36.703138,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8657142857142857)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:37.855898,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.876923076923077)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:38.993739,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.853333333333333)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:40.153636,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.853333333333333)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.007142857142857)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:41.213662,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8485714285714283)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.007142857142857)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:42.325446,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8485714285714283)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.007142857142857)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:43.332701,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.8485714285714283)","(51.0, 980.0, 511.0)","(3.3, 4.2, 3.99)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:44.482206,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.892857142857143)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:45.509116,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.82)","(51.0, 980.0, 511.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 17.5)"
14-12-2022 11:56:46.686525,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.884)","(51.0, 980.0, 417.2)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 23.0, 20.0)"
14-12-2022 11:56:47.634151,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.0)","(2.3, 2.9, 2.884)","(51.0, 980.0, 417.2)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 22.0, 18.833333333333332)"
14-12-2022 11:56:48.603731,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 578.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 22.0, 16.75)"
14-12-2022 11:56:49.693900,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 578.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 21.0, 15.333333333333334)"
14-12-2022 11:56:50.666548,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 668.0)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 21.0, 15.333333333333334)"
14-12-2022 11:56:51.755083,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 419.6)","(3.3, 4.2, 4.077272727272727)","(4.8, 5.4, 5.2)","(14.0, 21.0, 15.333333333333334)"
14-12-2022 11:56:52.907441,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 419.6)","(3.3, 4.2, 4.066666666666666)","(4.8, 5.4, 5.2)","(14.0, 21.0, 15.333333333333334)"
14-12-2022 11:56:54.048420,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 419.6)","(3.3, 4.2, 4.066666666666666)","(4.8, 5.4, 5.2)","(14.0, 21.0, 15.333333333333334)"
14-12-2022 11:56:55.122120,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 419.6)","(3.3, 4.2, 4.066666666666666)","(4.8, 5.4, 5.2)","(14.0, 21.0, 15.333333333333334)"
14-12-2022 11:56:56.203807,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 579.7142857142857)","(3.3, 4.2, 4.066666666666666)","(4.8, 5.4, 5.2)","(14.0, 21.0, 16.75)"
14-12-2022 11:56:57.317713,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 579.7142857142857)","(3.3, 4.2, 3.96)","(4.8, 5.4, 5.2)","(14.0, 21.0, 16.75)"
14-12-2022 11:56:58.340016,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 579.7142857142857)","(3.3, 4.2, 3.96)","(4.8, 5.4, 5.2)","(14.0, 21.0, 16.75)"
14-12-2022 11:56:59.343390,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 579.7142857142857)","(3.3, 4.2, 3.96)","(4.8, 5.4, 5.2)","(14.0, 21.0, 16.75)"
14-12-2022 11:57:00.277470,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 579.7142857142857)","(3.3, 4.2, 3.942857142857143)","(4.8, 5.4, 5.2)","(14.0, 21.0, 16.75)"
14-12-2022 11:57:01.216909,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.3)","(2.3, 2.9, 2.884)","(51.0, 980.0, 579.7142857142857)","(3.3, 4.2, 3.8727272727272726)","(4.8, 5.4, 5.2)","(14.0, 21.0, 16.75)"
14-12-2022 11:57:02.162749,"(9.0, 14.0, 12.64)","(12.0, 19.0, 16.75)","(2.3, 2.9, 2.884)","(51.0, 980.0, 668.6666666666666)","(3.3, 4.2, 4.036363636363636)","(4.8, 5.4, 5.2)","(14.0, 21.0, 16.75)"
