,Rickshaw Lass,Coalville Girl,Goolagong,Mr Larson,Reality Jewel,Dance Mode,Pacific Prayer
05-01-2023 14:19:15.819897,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.4, 5.35)","(5.5, 13.0, 11.533333333333333)","(4.0, 6.8, 5.433333333333334)","(7.5, 14.5, 13.416666666666666)"
05-01-2023 14:19:16.947040,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 12.0, 11.533333333333333)","(4.0, 5.7, 5.433333333333334)","(7.5, 14.5, 13.416666666666666)"
05-01-2023 14:19:18.121474,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 12.0, 10.4)","(4.0, 5.7, 6.457142857142857)","(7.5, 14.5, 13.416666666666666)"
05-01-2023 14:19:19.368818,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4)","(7.5, 14.5, 11.75)"
05-01-2023 14:19:20.709948,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:22.321632,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.4)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:23.774345,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.257142857142857)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:24.964095,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.257142857142857)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:26.148074,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.257142857142857)","(7.5, 14.0, 11.0)"
05-01-2023 14:19:27.472305,"(4.2, 6.0, 4.457142857142857)","(5.0, 8.0, 6.7555555555555555)","(20.0, 70.0, 30.833333333333332)","(4.2, 6.2, 5.35)","(5.5, 13.0, 10.4)","(4.0, 6.8, 6.257142857142857)","(7.5, 14.0, 11.0)"
