,Fish Tog Giblet,Extravagant,Trapped,Perfect Treasure,Ertugrul Bey,Mad Brax,Locke Bale,Hannele Bale
06-01-2023 16:36:56.152761,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.7, 3.925)","(11.0, 22.0, 20.357142857142858)"
06-01-2023 16:36:57.224097,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.7, 3.925)","(11.0, 22.0, 20.357142857142858)"
06-01-2023 16:36:58.358839,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.7, 3.48)","(11.0, 22.0, 17.31818181818182)"
06-01-2023 16:36:59.479192,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.8, 3.6666666666666665)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:00.622070,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.7, 3.875)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:01.724988,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.875)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:02.789007,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.875)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:03.850782,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.875)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:04.975518,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.875)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:06.206381,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.875)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:07.285961,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.875)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:08.419323,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.8, 3.48)","(11.0, 23.0, 17.31818181818182)"
06-01-2023 16:37:09.494444,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.8, 3.48)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:10.635600,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.3916666666666666)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:11.770447,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 5.075)","(20.0, 75.0, 35.0)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.3916666666666666)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:12.917447,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.3916666666666666)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:14.071250,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.3916666666666666)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:15.359066,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.6, 3.6)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:16.445870,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.5, 3.6)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:17.518494,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.5, 3.6)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:18.605816,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.5, 3.6999999999999997)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:19.810154,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.5, 3.98)","(11.0, 21.0, 16.227272727272727)"
06-01-2023 16:37:20.890553,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.5, 3.6666666666666665)","(11.0, 21.0, 19.875)"
06-01-2023 16:37:21.991290,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.5, 3.9444444444444446)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:23.192510,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.5, 3.946153846153846)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:24.309287,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 5.1, 4.0024390243902435)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:25.472155,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 5.1, 4.2481481481481485)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:26.654391,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 4.2481481481481485)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:27.753735,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 4.196)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:28.761600,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 4.196)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:29.805164,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 4.196)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:30.861562,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 4.196)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:32.071995,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:33.255539,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 23.0, 19.875)"
06-01-2023 16:37:34.470334,"(2.7, 4.3, 3.59)","(12.0, 23.0, 20.8)","(3.6, 6.4, 4.28)","(20.0, 75.0, 40.3125)","(13.0, 29.0, 21.5)","(18.0, 70.0, 32.90909090909091)","(3.2, 4.9, 3.525)","(11.0, 23.0, 19.875)"
