,Rubys And Pearls,Latrell Bar Cool,Identity Thief,Cosmic Tom Tom,Maywyns Nifty,Sirius Kyle,Sirius Keith,Magic Madness
16-12-2022 14:47:32.215283,"(4.2, 5.0, 4.85)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 6.985714285714286)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:33.355042,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 7.3478260869565215)","(6.5, 11.0, 9.7)","(5.5, 7.6, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:34.421129,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 7.025)","(6.5, 11.0, 9.7)","(5.5, 7.6, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.375)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:35.508408,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 7.025)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.6, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.5)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:36.651742,"(4.2, 5.2, 4.616666666666667)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.4, 7.025)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.6, 6.666666666666667)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.5)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:37.650714,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.942857142857142)","(6.5, 11.0, 9.7)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.5)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:38.643947,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.825)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:39.780827,"(4.2, 5.2, 4.9)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.9625)","(6.5, 11.0, 10.066666666666666)","(5.5, 7.8, 6.536842105263158)","(6.5, 15.0, 14.5)","(6.5, 16.0, 15.0)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:40.884958,"(4.2, 5.1, 4.585714285714285)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.9625)","(6.5, 10.5, 9.733333333333333)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.75)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
16-12-2022 14:47:41.989461,"(4.2, 5.1, 4.585714285714285)","(3.5, 6.0, 5.096153846153846)","(6.0, 8.2, 6.9625)","(6.5, 10.5, 9.733333333333333)","(5.5, 7.6, 6.76)","(6.5, 15.0, 14.75)","(6.5, 16.0, 15.272727272727273)","(31.0, 140.0, 104.66666666666667)"
