,Special Ella,Big Time Yonkers,Homebush Red,Homebush Allison,Goldstar Jericho,Wild Thyme,Homebush Ari,Know Vibes
09-01-2023 11:31:53.439594,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:31:54.707605,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:31:55.971336,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:31:57.224098,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:31:58.436868,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:31:59.674051,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:00.855539,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:02.076130,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:03.220327,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:04.461722,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:05.665203,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
09-01-2023 11:32:06.858285,"(1.45, 2.32, 2.1714634146341463)","(10.0, 42.0, 32.17647058823529)","(10.0, 42.0, 32.17647058823529)","(31.0, 280.0, 100.0)","(8.0, 32.0, 25.9)","(12.0, 55.0, 50.5)","(19.0, 180.0, 89.72222222222223)","(9.0, 36.0, 27.941176470588232)"
