,Hearts And Minds,Kazio,Demando,Coastal Town,Rich Memories,Playing It Safe,Laureus,Longtimedreaming,Mahrez,Golwen
08-12-2022 14:25:47.277506,"(11.0, 15.0, 14.85)","(7.5, 8.6, 8.458333333333334)","(4.4, 5.3, 5.295918367346939)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.243243243243242)","(7.0, 7.6, 7.555172413793104)","(7.0, 9.6, 9.466666666666667)","(17.0, 18.0, 17.3125)","(4.4, 5.5, 5.479289940828402)","(101.0, 650.0, 627.2727272727273)"
08-12-2022 14:25:48.670822,"(11.0, 15.0, 14.85)","(7.5, 8.6, 8.458333333333334)","(4.4, 5.3, 5.295918367346939)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.243243243243242)","(7.0, 7.6, 7.558064516129032)","(7.0, 9.6, 9.428571428571429)","(17.0, 17.5, 17.3125)","(4.4, 5.5, 5.474452554744525)","(101.0, 640.0, 627.2727272727273)"
08-12-2022 14:25:50.034444,"(11.0, 15.0, 14.85)","(7.5, 8.8, 8.640625)","(4.4, 5.3, 5.296825396825397)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.243243243243242)","(7.0, 7.6, 7.558064516129032)","(7.0, 9.6, 9.363636363636363)","(17.0, 17.5, 17.219298245614034)","(4.4, 5.5, 5.474452554744525)","(101.0, 640.0, 627.2727272727273)"
08-12-2022 14:25:51.326267,"(11.0, 15.0, 14.85)","(7.5, 8.8, 8.665714285714285)","(4.4, 5.3, 5.296825396825397)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.243243243243242)","(7.0, 7.6, 7.6269230769230765)","(7.0, 9.4, 9.307692307692308)","(17.0, 17.5, 17.166666666666668)","(4.4, 5.5, 5.474452554744525)","(101.0, 640.0, 627.2727272727273)"
08-12-2022 14:25:52.980421,"(11.0, 15.0, 14.85)","(7.5, 8.8, 8.676315789473684)","(4.4, 5.3, 5.296825396825397)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.243243243243242)","(7.0, 7.8, 7.574999999999999)","(7.0, 9.4, 9.307692307692308)","(17.0, 17.5, 17.166666666666668)","(4.4, 5.5, 5.474452554744525)","(101.0, 640.0, 627.2727272727273)"
08-12-2022 14:25:54.584724,"(11.0, 15.0, 14.85)","(7.5, 8.8, 8.665168539325842)","(4.4, 5.3, 5.2953488372093025)","(7.0, 9.0, 8.914893617021276)","(21.0, 30.0, 29.27777777777778)","(7.0, 7.6, 7.569565217391304)","(7.0, 9.4, 9.307692307692308)","(17.0, 17.5, 17.214285714285715)","(4.4, 5.5, 5.476691729323308)","(101.0, 640.0, 485.0)"
08-12-2022 14:25:56.174037,"(11.0, 15.0, 14.868421052631579)","(7.5, 8.8, 8.665168539325842)","(4.4, 5.3, 5.253061224489796)","(7.0, 9.0, 8.914893617021276)","(21.0, 30.0, 29.27777777777778)","(7.0, 7.6, 7.561111111111111)","(7.0, 9.4, 9.381818181818181)","(17.0, 17.5, 17.214285714285715)","(4.4, 5.5, 5.476691729323308)","(101.0, 640.0, 506.0)"
08-12-2022 14:25:57.704567,"(11.0, 15.0, 14.85)","(7.5, 8.8, 8.79009900990099)","(4.4, 5.4, 5.254545454545455)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.243243243243242)","(7.0, 7.6, 7.572549019607843)","(7.0, 9.6, 9.353846153846153)","(17.0, 17.5, 17.115942028985508)","(4.4, 5.5, 5.477862595419848)","(101.0, 610.0, 443.3333333333333)"
08-12-2022 14:25:59.143550,"(11.0, 15.0, 14.85)","(7.5, 8.8, 8.787755102040817)","(4.4, 5.3, 5.2622641509433965)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.243243243243242)","(7.0, 7.6, 7.546153846153846)","(7.0, 9.6, 9.353846153846153)","(17.0, 17.5, 17.009090909090908)","(4.4, 5.5, 5.4369565217391305)","(101.0, 610.0, 440.0)"
08-12-2022 14:26:00.537721,"(11.0, 15.0, 14.85)","(7.5, 8.8, 8.787755102040817)","(4.4, 5.3, 5.2622641509433965)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.317073170731707)","(7.0, 7.6, 7.54)","(7.0, 9.6, 9.353846153846153)","(17.0, 17.5, 16.851063829787233)","(4.4, 5.5, 5.380165289256198)","(101.0, 600.0, 440.0)"
08-12-2022 14:26:01.874451,"(11.0, 15.0, 14.85)","(7.5, 9.2, 9.0)","(4.4, 5.4, 5.336842105263158)","(7.0, 9.0, 8.894736842105264)","(21.0, 30.0, 29.317073170731707)","(7.0, 7.6, 7.552)","(7.0, 9.6, 9.353846153846153)","(17.0, 17.0, 16.87272727272727)","(4.4, 5.4, 5.289130434782608)","(101.0, 600.0, 440.0)"
08-12-2022 14:26:03.308465,"(11.0, 15.0, 14.88888888888889)","(7.5, 9.2, 8.942857142857143)","(4.4, 5.4, 5.41388888888889)","(7.0, 9.0, 8.921052631578947)","(21.0, 30.0, 29.22222222222222)","(7.0, 7.6, 7.595918367346939)","(7.0, 9.6, 9.511111111111111)","(17.0, 17.0, 16.87037037037037)","(4.4, 5.3, 5.18)","(101.0, 600.0, 440.0)"
08-12-2022 14:26:04.626103,"(11.0, 15.0, 14.981481481481481)","(7.5, 9.0, 8.942857142857143)","(4.6, 5.5, 5.410638297872341)","(7.0, 9.0, 8.921052631578947)","(21.0, 30.0, 29.317073170731707)","(7.0, 7.6, 7.595918367346939)","(7.5, 9.6, 9.52)","(16.0, 17.0, 16.26086956521739)","(4.4, 5.2, 5.1209999999999996)","(101.0, 600.0, 510.0)"
08-12-2022 14:26:05.957836,"(11.0, 15.5, 15.095238095238095)","(7.5, 9.2, 9.167676767676767)","(4.6, 5.5, 5.41388888888889)","(7.0, 9.0, 8.921052631578947)","(21.0, 30.0, 29.227272727272727)","(7.0, 7.6, 7.595918367346939)","(7.5, 9.6, 9.52)","(16.0, 16.5, 16.346153846153847)","(4.4, 5.2, 5.1209999999999996)","(101.0, 600.0, 510.0)"
08-12-2022 14:26:07.299388,"(11.0, 15.5, 15.185185185185185)","(7.5, 9.2, 9.16144578313253)","(4.6, 5.5, 5.404615384615385)","(7.0, 9.0, 8.980392156862745)","(21.0, 30.0, 28.84375)","(7.0, 7.6, 7.5948717948717945)","(7.5, 9.6, 9.666666666666668)","(16.0, 16.5, 16.764705882352942)","(4.4, 5.2, 5.086842105263157)","(101.0, 600.0, 510.0)"
08-12-2022 14:26:08.787344,"(11.0, 15.5, 15.095238095238095)","(7.5, 9.2, 9.16144578313253)","(4.6, 5.5, 5.404615384615385)","(7.0, 9.0, 8.987755102040817)","(21.0, 29.0, 28.84375)","(7.0, 7.6, 7.5948717948717945)","(7.5, 9.8, 9.666666666666668)","(16.0, 17.0, 16.822222222222223)","(4.4, 5.1, 5.086842105263157)","(101.0, 600.0, 510.0)"
08-12-2022 14:26:10.324323,"(11.0, 15.5, 14.944444444444445)","(7.5, 9.2, 9.144086021505375)","(4.6, 5.5, 5.45)","(7.0, 9.0, 8.964516129032258)","(21.0, 29.0, 28.84375)","(7.0, 7.6, 7.5948717948717945)","(7.5, 9.8, 9.552380952380952)","(16.0, 17.0, 16.666666666666668)","(4.4, 5.1, 5.086842105263157)","(101.0, 600.0, 450.0)"
08-12-2022 14:26:11.854176,"(11.0, 15.5, 14.942857142857143)","(7.5, 9.2, 9.144086021505375)","(4.6, 5.5, 5.484507042253521)","(7.0, 9.0, 8.941666666666666)","(21.0, 29.0, 28.75)","(7.0, 7.6, 7.595918367346939)","(7.5, 9.8, 9.552380952380952)","(16.0, 17.0, 16.52112676056338)","(4.4, 5.1, 5.083892617449664)","(101.0, 600.0, 450.0)"
08-12-2022 14:26:13.310402,"(11.0, 15.5, 14.876811594202898)","(7.5, 9.2, 9.144086021505375)","(4.6, 5.5, 5.467796610169492)","(7.0, 9.0, 8.941666666666666)","(21.0, 29.0, 28.75)","(7.0, 7.6, 7.595918367346939)","(7.5, 9.8, 9.552380952380952)","(16.0, 17.0, 16.52112676056338)","(4.4, 5.1, 5.083892617449664)","(101.0, 600.0, 450.0)"
08-12-2022 14:26:14.707574,"(11.0, 15.5, 14.876811594202898)","(7.5, 9.2, 9.144086021505375)","(4.6, 5.5, 5.467796610169492)","(7.0, 9.0, 8.941666666666666)","(21.0, 29.0, 28.75)","(7.0, 7.6, 7.595918367346939)","(7.5, 9.8, 9.552380952380952)","(16.0, 17.0, 16.52112676056338)","(4.4, 5.1, 5.083892617449664)","(101.0, 600.0, 450.0)"
08-12-2022 14:26:16.129007,"(11.0, 15.5, 14.876811594202898)","(7.5, 9.4, 9.308045977011494)","(4.6, 5.5, 5.467796610169492)","(7.0, 9.0, 8.941666666666666)","(21.0, 29.0, 28.357142857142858)","(7.0, 7.6, 7.595918367346939)","(7.5, 9.8, 9.552380952380952)","(16.0, 17.0, 16.52112676056338)","(4.4, 5.1, 5.086805555555555)","(101.0, 600.0, 450.0)"
08-12-2022 14:26:17.527032,"(11.0, 15.0, 14.92)","(7.5, 9.2, 9.194805194805195)","(4.6, 5.5, 5.475641025641026)","(7.0, 9.0, 8.941666666666666)","(21.0, 27.0, 26.885714285714286)","(7.0, 7.8, 7.713978494623656)","(7.5, 9.8, 9.600000000000001)","(16.0, 17.0, 16.52112676056338)","(4.4, 5.1, 5.086805555555555)","(101.0, 600.0, 450.0)"
08-12-2022 14:26:18.889105,"(11.0, 15.0, 14.92)","(7.5, 9.2, 9.32258064516129)","(4.6, 5.5, 5.391228070175439)","(7.0, 9.0, 8.941666666666666)","(21.0, 27.0, 26.885714285714286)","(7.0, 7.8, 7.713978494623656)","(7.5, 9.8, 9.606060606060607)","(16.0, 17.0, 16.484848484848484)","(4.4, 5.1, 5.086805555555555)","(101.0, 600.0, 450.0)"
08-12-2022 14:26:20.289963,"(11.0, 15.0, 14.916666666666666)","(7.5, 9.4, 9.17319587628866)","(4.6, 5.4, 5.385964912280702)","(7.0, 9.0, 8.933333333333334)","(21.0, 27.0, 26.88888888888889)","(7.0, 7.8, 7.71157894736842)","(7.5, 9.8, 9.663829787234043)","(16.0, 17.0, 16.694444444444443)","(4.4, 5.3, 5.214814814814814)","(101.0, 600.0, 628.0)"
08-12-2022 14:26:21.734868,"(11.0, 15.0, 14.916666666666666)","(7.5, 9.2, 9.17319587628866)","(4.6, 5.4, 5.37536231884058)","(7.0, 9.0, 8.968115942028986)","(21.0, 27.0, 26.88888888888889)","(7.0, 7.8, 7.331707317073171)","(7.5, 9.8, 9.672)","(16.0, 17.5, 16.648936170212767)","(4.4, 5.3, 5.346938775510204)","(101.0, 670.0, 623.3333333333334)"
08-12-2022 14:26:23.174750,"(11.0, 15.0, 14.916666666666666)","(7.5, 9.2, 9.168292682926829)","(4.6, 5.4, 5.373239436619719)","(7.0, 9.0, 8.968115942028986)","(21.0, 27.0, 26.88888888888889)","(7.0, 7.4, 7.428571428571429)","(7.5, 9.8, 9.672)","(16.0, 17.5, 16.648936170212767)","(4.4, 5.4, 5.344723618090453)","(101.0, 670.0, 623.3333333333334)"
08-12-2022 14:26:24.569850,"(11.0, 15.0, 14.916666666666666)","(7.5, 9.2, 9.168292682926829)","(4.6, 5.4, 5.382758620689655)","(7.0, 9.0, 8.95890410958904)","(21.0, 27.0, 26.82051282051282)","(7.0, 7.6, 7.41)","(7.5, 9.8, 9.414736842105263)","(16.0, 17.5, 16.648936170212767)","(4.4, 5.4, 5.3625)","(101.0, 670.0, 623.3333333333334)"
08-12-2022 14:26:25.946206,"(11.0, 15.0, 14.916666666666666)","(7.5, 9.2, 9.168292682926829)","(4.6, 5.4, 5.382758620689655)","(7.0, 9.0, 8.95890410958904)","(21.0, 27.0, 26.711111111111112)","(7.0, 7.6, 7.372)","(7.5, 9.6, 9.414736842105263)","(16.0, 17.5, 16.648936170212767)","(4.4, 5.4, 5.3625)","(101.0, 670.0, 623.3333333333334)"
08-12-2022 14:26:27.316698,"(11.0, 15.0, 14.916666666666666)","(7.5, 9.2, 9.168292682926829)","(4.6, 5.4, 5.382758620689655)","(7.0, 9.0, 8.95890410958904)","(21.0, 27.0, 26.711111111111112)","(7.0, 7.6, 7.354954954954955)","(7.5, 9.6, 9.382142857142858)","(16.0, 17.5, 16.648936170212767)","(4.4, 5.4, 5.406635071090048)","(101.0, 670.0, 452.22222222222223)"
08-12-2022 14:26:28.746846,"(11.0, 15.0, 14.916666666666666)","(7.5, 9.2, 9.110344827586207)","(4.6, 5.4, 5.3459854014598545)","(7.0, 9.0, 8.9625)","(21.0, 27.0, 26.711111111111112)","(7.0, 7.6, 7.452173913043478)","(7.5, 9.4, 9.379166666666666)","(16.0, 17.5, 16.648936170212767)","(4.4, 5.5, 5.408)","(101.0, 670.0, 460.0)"
08-12-2022 14:26:30.322876,"(11.0, 15.5, 14.817460317460318)","(7.5, 9.0, 8.903030303030304)","(4.6, 5.4, 5.3459854014598545)","(7.0, 9.0, 8.9625)","(21.0, 27.0, 26.711111111111112)","(7.0, 7.6, 7.4369565217391305)","(7.5, 9.4, 9.397701149425286)","(16.0, 17.5, 16.55)","(4.4, 5.5, 5.459448818897638)","(101.0, 670.0, 418.0)"
08-12-2022 14:26:31.776645,"(11.0, 15.5, 14.78169014084507)","(7.5, 9.0, 8.869565217391305)","(4.6, 5.4, 5.3459854014598545)","(7.0, 9.0, 8.954761904761906)","(21.0, 27.0, 26.711111111111112)","(7.0, 7.6, 7.407692307692308)","(7.5, 9.6, 9.397701149425286)","(16.0, 17.0, 16.535714285714285)","(4.4, 5.5, 5.452517985611511)","(101.0, 670.0, 390.0)"
08-12-2022 14:26:33.267450,"(11.0, 15.5, 14.78169014084507)","(7.5, 9.2, 8.881818181818183)","(4.6, 5.4, 5.427586206896552)","(7.0, 9.0, 8.954761904761906)","(21.0, 27.0, 26.711111111111112)","(7.0, 7.6, 7.343478260869565)","(7.5, 9.6, 9.498850574712643)","(16.0, 17.0, 16.864285714285714)","(4.4, 5.5, 5.426923076923077)","(101.0, 670.0, 460.0)"
08-12-2022 14:26:34.869039,"(11.0, 15.5, 14.78169014084507)","(7.5, 9.0, 8.832)","(4.6, 5.5, 5.427586206896552)","(7.0, 9.0, 8.96)","(21.0, 27.0, 26.738095238095237)","(7.0, 7.4, 7.345263157894737)","(7.5, 9.6, 9.498850574712643)","(16.0, 17.0, 16.864285714285714)","(4.4, 5.5, 5.351807228915662)","(101.0, 660.0, 460.0)"
