,Vodka En Ice,Getaloadathisbro,Motu Amethyst Nz,All Star Magician,Purple Shades,Aqua Cruiser,Artistic Saint,Motu Cullen Nz
07-12-2022 17:57:49.016956,"(3.0, 3.85, 3.625)","(6.0, 7.4, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 25.5)","(13.0, 18.0, 17.653846153846153)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.2125)","(4.0, 99999, 99990)"
07-12-2022 17:57:50.196543,"(3.0, 3.85, 3.625)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 25.5)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.2125)","(4.0, 99999, 99990)"
07-12-2022 17:57:51.493559,"(3.0, 3.85, 3.7130434782608694)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.2125)","(4.0, 99999, 99990)"
07-12-2022 17:57:52.689874,"(3.0, 3.85, 3.7130434782608694)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.2125)","(4.0, 99999, 99990)"
07-12-2022 17:57:53.760962,"(3.0, 3.85, 3.71875)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 26.0)","(13.0, 18.0, 17.653846153846153)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.2125)","(4.0, 99999, 99990)"
07-12-2022 17:57:54.916149,"(3.0, 3.85, 3.71875)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 26.0)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.15)","(4.0, 99999, 99990)"
07-12-2022 17:57:56.015237,"(3.0, 3.85, 3.71875)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 24.6)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.15)","(4.0, 99999, 99990)"
07-12-2022 17:57:57.131939,"(3.0, 3.85, 3.657142857142857)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 26.0)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.15)","(4.0, 99999, 99990)"
07-12-2022 17:57:58.260537,"(3.0, 3.85, 3.68125)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 26.0)","(13.0, 18.0, 17.653846153846153)","(10.0, 18.0, 12.923076923076923)","(7.5, 10.5, 10.15)","(4.0, 99999, 99990)"
07-12-2022 17:57:59.414698,"(3.0, 3.85, 3.68125)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 27.25)","(13.0, 18.0, 17.653846153846153)","(10.0, 18.0, 12.923076923076923)","(7.5, 10.5, 10.15)","(4.0, 99999, 99990)"
07-12-2022 17:58:00.546068,"(3.0, 3.85, 3.68125)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(16.0, 29.0, 26.0)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.15)","(4.0, 99999, 99990)"
07-12-2022 17:58:01.684255,"(3.0, 3.85, 3.68125)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.15)","(3.9, 99999, 99990)"
07-12-2022 17:58:02.766964,"(3.0, 3.85, 3.68125)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.333333333333332)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.15)","(3.9, 99999, 99990)"
07-12-2022 17:58:03.940173,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.653846153846153)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.15)","(3.9, 99999, 99990)"
07-12-2022 17:58:05.061838,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.653846153846153)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.15)","(3.9, 99999, 99990)"
07-12-2022 17:58:06.135767,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.555555555555557)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:07.344823,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.555555555555557)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:08.473374,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:09.521662,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:10.586744,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:11.673836,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 12.923076923076923)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:12.764816,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 13.5)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:13.904092,"(3.0, 3.85, 3.6045454545454545)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:15.086180,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:16.265129,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.0)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.266666666666666)","(3.9, 99999, 99990)"
07-12-2022 17:58:17.417022,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 10.2625)","(3.9, 99999, 99990)"
07-12-2022 17:58:18.533188,"(3.0, 3.85, 3.7)","(6.0, 8.0, 7.4)","(6.0, 99999, 99990)","(17.0, 29.0, 24.6)","(13.0, 18.0, 17.416666666666668)","(10.0, 18.0, 16.0)","(7.5, 10.5, 9.975)","(3.9, 99999, 99990)"
