,Jezzali,Footluce Dreamer,Woodside Devil,Miss Free Reign,Emerley Wiggum,Bassos Girl,Yasmin Belle,Mrs Butterbean
0,"[datetime.datetime(2022, 11, 28, 19, 14, 40, 833698), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 40, 833698), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 40, 833698), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 40, 833698), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 40, 833698), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 40, 833698), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 40, 833698), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 40, 833698), 21.0, 180.0]"
1,"[datetime.datetime(2022, 11, 28, 19, 14, 41, 999259), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 999259), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 999259), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 999259), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 999259), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 999259), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 999259), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 41, 999259), 21.0, 180.0]"
2,"[datetime.datetime(2022, 11, 28, 19, 14, 43, 157014), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 157014), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 157014), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 157014), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 157014), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 157014), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 157014), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 43, 157014), 21.0, 180.0]"
3,"[datetime.datetime(2022, 11, 28, 19, 14, 44, 325151), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 325151), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 325151), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 325151), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 325151), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 325151), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 325151), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 44, 325151), 21.0, 180.0]"
4,"[datetime.datetime(2022, 11, 28, 19, 14, 45, 492029), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 45, 492029), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 45, 492029), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 45, 492029), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 45, 492029), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 45, 492029), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 45, 492029), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 45, 492029), 21.0, 180.0]"
5,"[datetime.datetime(2022, 11, 28, 19, 14, 46, 663306), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 663306), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 663306), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 663306), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 663306), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 663306), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 663306), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 46, 663306), 21.0, 180.0]"
6,"[datetime.datetime(2022, 11, 28, 19, 14, 47, 846751), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 846751), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 846751), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 846751), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 846751), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 846751), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 846751), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 47, 846751), 21.0, 180.0]"
7,"[datetime.datetime(2022, 11, 28, 19, 14, 49, 26090), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 26090), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 26090), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 26090), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 26090), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 26090), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 26090), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 49, 26090), 21.0, 180.0]"
8,"[datetime.datetime(2022, 11, 28, 19, 14, 50, 204571), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 204571), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 204571), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 204571), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 204571), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 204571), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 204571), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 50, 204571), 21.0, 180.0]"
9,"[datetime.datetime(2022, 11, 28, 19, 14, 51, 366035), 3.8, 6.6]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 366035), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 366035), 61.0, 360.0]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 366035), 2.9, 4.4]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 366035), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 366035), 9.0, 19.5]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 366035), 4.8, 7.4]","[datetime.datetime(2022, 11, 28, 19, 14, 51, 366035), 21.0, 180.0]"
