,Headbanger,Sonnys Amazing,Holzhauer,Our Holla Star,Allthewaytoroyalty,Cc Jones Nz
10-01-2023 18:51:51.290550,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:51:52.287606,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:51:53.349857,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:51:54.480044,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:51:55.603379,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:51:56.735571,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:51:57.674387,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:51:58.614869,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:51:59.740941,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:00.908157,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:02.037504,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:03.177377,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:04.333842,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
10-01-2023 18:52:05.436093,"(3.9, 6.0, 5.357142857142857)","(5.5, 9.2, 7.771428571428571)","(2.6, 3.35, 3.1475)","(12.0, 24.0, 17.75)","(5.0, 7.2, 6.4)","(5.0, 99999, 99990)"
