,Stone,Amarillo Slim,Pattys Regret,Barefoot Di,Starlight Belle,Malis Whitey,Blackpool Coco,Midnight Image
16-12-2022 13:27:12.032105,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 16.085714285714285)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:13.058154,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 16.085714285714285)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:14.163260,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.559999999999999)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:15.247959,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.559999999999999)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:16.380473,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.559999999999999)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:17.503687,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:18.592829,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:19.594060,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:20.607162,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:21.617692,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
16-12-2022 13:27:22.690962,"(4.0, 7.0, 4.592105263157895)","(21.0, 65.0, 36.875)","(7.5, 17.5, 15.6)","(3.0, 4.6, 3.4285714285714284)","(6.5, 12.5, 6.9)","(13.0, 27.0, 24.0)","(15.0, 32.0, 21.444444444444443)","(3.8, 5.6, 3.85)"
