,Tuta Yankee,Alvey,Terrys Toil,Roulette,Specified,Fogelberg,Chase A Lot,Ringbark Road
0,"[datetime.datetime(2022, 11, 28, 12, 35, 59, 594323), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 35, 59, 594323), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 35, 59, 594323), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 35, 59, 594323), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 35, 59, 594323), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 35, 59, 594323), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 35, 59, 594323), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 35, 59, 594323), 1.6, 2.18]"
1,"[datetime.datetime(2022, 11, 28, 12, 36, 0, 733088), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 0, 733088), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 0, 733088), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 0, 733088), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 0, 733088), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 0, 733088), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 0, 733088), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 0, 733088), 1.6, 2.18]"
2,"[datetime.datetime(2022, 11, 28, 12, 36, 1, 861548), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 1, 861548), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 1, 861548), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 1, 861548), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 1, 861548), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 1, 861548), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 1, 861548), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 1, 861548), 1.6, 2.18]"
3,"[datetime.datetime(2022, 11, 28, 12, 36, 2, 991745), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 2, 991745), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 2, 991745), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 2, 991745), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 2, 991745), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 2, 991745), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 2, 991745), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 2, 991745), 1.6, 2.18]"
4,"[datetime.datetime(2022, 11, 28, 12, 36, 4, 117698), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 4, 117698), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 4, 117698), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 4, 117698), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 4, 117698), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 4, 117698), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 4, 117698), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 4, 117698), 1.6, 2.18]"
5,"[datetime.datetime(2022, 11, 28, 12, 36, 5, 249909), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 5, 249909), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 5, 249909), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 5, 249909), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 5, 249909), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 5, 249909), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 5, 249909), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 5, 249909), 1.6, 2.18]"
6,"[datetime.datetime(2022, 11, 28, 12, 36, 6, 376595), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 6, 376595), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 6, 376595), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 6, 376595), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 6, 376595), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 6, 376595), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 6, 376595), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 6, 376595), 1.6, 2.18]"
7,"[datetime.datetime(2022, 11, 28, 12, 36, 7, 512165), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 7, 512165), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 7, 512165), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 7, 512165), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 7, 512165), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 7, 512165), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 7, 512165), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 7, 512165), 1.6, 2.18]"
8,"[datetime.datetime(2022, 11, 28, 12, 36, 8, 646168), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 8, 646168), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 8, 646168), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 8, 646168), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 8, 646168), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 8, 646168), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 8, 646168), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 8, 646168), 1.6, 2.18]"
9,"[datetime.datetime(2022, 11, 28, 12, 36, 9, 769064), 41.0, 190.0]","[datetime.datetime(2022, 11, 28, 12, 36, 9, 769064), 6.0, 9.8]","[datetime.datetime(2022, 11, 28, 12, 36, 9, 769064), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 12, 36, 9, 769064), 15.0, 100.0]","[datetime.datetime(2022, 11, 28, 12, 36, 9, 769064), 8.0, 14.0]","[datetime.datetime(2022, 11, 28, 12, 36, 9, 769064), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 12, 36, 9, 769064), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 12, 36, 9, 769064), 1.6, 2.18]"
