,Aston Autumn,Aussie Bullseye,Fly Slip,Twister Giblet,Creditor,Jamilla Bale,Ranger Ricksen,Why Not Emily
10-01-2023 13:35:29.238022,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 190.0)"
10-01-2023 13:35:30.508558,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 190.0)"
10-01-2023 13:35:31.799156,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 190.0)"
10-01-2023 13:35:32.959727,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 190.0)"
10-01-2023 13:35:34.118692,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 190.0)"
10-01-2023 13:35:35.275036,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 190.0)"
10-01-2023 13:35:36.451832,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 53.75)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 44.375)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 190.0)"
10-01-2023 13:35:37.699811,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 27.75)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:38.917079,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
10-01-2023 13:35:40.129922,"(2.7, 4.2, 2.7969230769230773)","(17.0, 40.0, 24.0)","(4.8, 8.6, 6.96)","(31.0, 100.0, 47.63636363636364)","(2.7, 4.4, 2.7875)","(26.0, 80.0, 38.54545454545455)","(4.8, 9.2, 8.19076923076923)","(41.0, 300.0, 103.5)"
