,Savvy Valentino,Hint Of Stars,Commander Harry,Prospectus,Beaufort Park,Golwen,The Yachtsman
08-01-2023 15:24:10.485371,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.96)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:11.454277,"(31.0, 50.0, 48.0)","(6.0, 12.5, 11.96)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:12.405854,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:13.300611,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:14.243010,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:15.176897,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:16.119188,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:17.038535,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:17.963888,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:18.861227,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:19.804551,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:20.787248,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:21.684742,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:22.577424,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:23.532498,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:24.451410,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
08-01-2023 15:24:25.366520,"(31.0, 50.0, 48.0)","(6.0, 12.5, 12.1625)","(3.8, 4.8, 4.337614678899083)","(2.05, 2.16, 2.14019758507135)","(3.6, 5.2, 4.723809523809524)","(71.0, 190.0, 140.0)","(71.0, 190.0, 170.0)"
