,Bettys Star,Yarramundi Garth,Finniss Spice,Blaze Victorem,Silk Sonic
11-01-2023 13:12:00.062395,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:00.943528,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:01.868793,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:02.742557,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:03.592533,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:04.449622,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:05.353632,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:06.226768,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:07.037611,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:07.862287,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:08.681438,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:09.572568,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
11-01-2023 13:12:10.510641,"(1.9, 2.52, 2.00037037037037)","(12.0, 29.0, 21.6)","(4.8, 10.5, 6.903846153846153)","(26.0, 200.0, 114.0)","(2.6, 3.75, 2.8275)"
