,Jimmyjoe,Rock Fisherman,True Confessions,Boom Nz,Whats Your Secret Nz,Cassius Deck,Yesnomaybeso,Glenavril King,Louis Litt Nz,Lochiel Nz
07-01-2023 18:41:15.255967,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 11.0, 8.981818181818182)","(61.0, 110.0, 106.0)","(26.0, 100.0, 89.0909090909091)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:16.458397,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.0, 9.280000000000001)","(61.0, 110.0, 106.0)","(26.0, 140.0, 98.28571428571428)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:17.699502,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.4, 9.333333333333334)","(61.0, 110.0, 106.0)","(26.0, 110.0, 112.0)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:18.875256,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.4, 9.355555555555556)","(61.0, 110.0, 106.0)","(26.0, 140.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:20.062897,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.4, 8.88)","(61.0, 110.0, 106.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:21.223858,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.0, 9.511111111111111)","(61.0, 110.0, 106.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:22.398452,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.6, 9.533333333333333)","(61.0, 110.0, 106.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:23.593649,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.6, 9.104761904761904)","(61.0, 110.0, 106.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:24.764083,"(8.0, 11.5, 10.975)","(6.5, 7.0, 6.952941176470588)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 9.6, 10.333333333333334)","(61.0, 110.0, 106.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:25.961894,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.96)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.5, 10.09090909090909)","(61.0, 110.0, 106.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:27.111349,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.96)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.5, 10.09090909090909)","(61.0, 110.0, 106.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:28.247871,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.96)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.5, 9.923076923076923)","(61.0, 110.0, 105.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:29.377269,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.96)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.5, 9.75)","(61.0, 110.0, 105.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:30.581322,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.96)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.5, 9.75)","(61.0, 110.0, 105.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
07-01-2023 18:41:31.773548,"(8.0, 11.5, 10.45)","(6.5, 7.0, 6.96)","(26.0, 120.0, 78.0)","(2.45, 99999, 99990)","(4.0, 99999, 99990)","(5.5, 10.5, 9.428571428571429)","(61.0, 110.0, 105.0)","(26.0, 130.0, 104.5)","(41.0, 99999, 99990)","(26.0, 99999, 99990)"
