,Hot Asia,Kouta Marjen,Soda Helen,Cintas Gift,Alberts Magic,Reality Road,Soda Felix,Magnetic Man
0,"[datetime.datetime(2022, 11, 28, 15, 58, 34, 665244), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 34, 665244), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 58, 34, 665244), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 34, 665244), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 34, 665244), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 34, 665244), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 34, 665244), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 34, 665244), 41.0, 260.0]"
1,"[datetime.datetime(2022, 11, 28, 15, 58, 35, 823767), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 35, 823767), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 58, 35, 823767), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 35, 823767), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 35, 823767), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 35, 823767), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 35, 823767), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 35, 823767), 41.0, 260.0]"
2,"[datetime.datetime(2022, 11, 28, 15, 58, 36, 983155), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 36, 983155), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 58, 36, 983155), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 36, 983155), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 36, 983155), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 36, 983155), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 36, 983155), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 36, 983155), 41.0, 260.0]"
3,"[datetime.datetime(2022, 11, 28, 15, 58, 38, 136069), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 38, 136069), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 58, 38, 136069), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 38, 136069), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 38, 136069), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 38, 136069), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 38, 136069), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 38, 136069), 41.0, 260.0]"
4,"[datetime.datetime(2022, 11, 28, 15, 58, 39, 282661), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 39, 282661), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 58, 39, 282661), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 39, 282661), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 39, 282661), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 39, 282661), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 39, 282661), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 39, 282661), 41.0, 260.0]"
5,"[datetime.datetime(2022, 11, 28, 15, 58, 40, 424245), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 40, 424245), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 58, 40, 424245), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 40, 424245), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 40, 424245), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 40, 424245), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 40, 424245), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 40, 424245), 41.0, 260.0]"
6,"[datetime.datetime(2022, 11, 28, 15, 58, 41, 555822), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 41, 555822), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 58, 41, 555822), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 41, 555822), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 41, 555822), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 41, 555822), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 41, 555822), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 41, 555822), 41.0, 260.0]"
7,"[datetime.datetime(2022, 11, 28, 15, 58, 42, 688392), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 42, 688392), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 15, 58, 42, 688392), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 42, 688392), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 42, 688392), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 42, 688392), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 42, 688392), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 42, 688392), 41.0, 260.0]"
8,"[datetime.datetime(2022, 11, 28, 15, 58, 43, 819570), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 43, 819570), 3.2, 4.4]","[datetime.datetime(2022, 11, 28, 15, 58, 43, 819570), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 43, 819570), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 43, 819570), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 43, 819570), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 43, 819570), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 43, 819570), 41.0, 260.0]"
9,"[datetime.datetime(2022, 11, 28, 15, 58, 44, 946382), 31.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 58, 44, 946382), 3.2, 4.4]","[datetime.datetime(2022, 11, 28, 15, 58, 44, 946382), 2.4, 3.65]","[datetime.datetime(2022, 11, 28, 15, 58, 44, 946382), 4.4, 7.4]","[datetime.datetime(2022, 11, 28, 15, 58, 44, 946382), 26.0, 85.0]","[datetime.datetime(2022, 11, 28, 15, 58, 44, 946382), 5.5, 9.8]","[datetime.datetime(2022, 11, 28, 15, 58, 44, 946382), 15.0, 60.0]","[datetime.datetime(2022, 11, 28, 15, 58, 44, 946382), 41.0, 260.0]"
