,Balts Obsession,Free At Night,Aston Rupiah,Flash Fever,Midnight Image,Cry Wolf,Paw Baby,Ruthless Runner
10-01-2023 21:07:54.822743,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 12.5, 6.5600000000000005)"
10-01-2023 21:07:56.199457,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 12.5, 6.5600000000000005)"
10-01-2023 21:07:57.447296,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 12.5, 6.5600000000000005)"
10-01-2023 21:07:58.652850,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:07:59.878481,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:01.121246,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:02.346453,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:03.661671,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:04.957087,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
10-01-2023 21:08:06.203790,"(5.0, 10.0, 5.325)","(9.0, 22.0, 11.0)","(17.0, 55.0, 38.75)","(11.0, 22.0, 21.076923076923077)","(21.0, 100.0, 71.42857142857143)","(1.95, 2.38, 1.9473076923076922)","(7.5, 17.0, 16.010526315789473)","(6.0, 11.0, 7.175000000000001)"
