,Jewel Bee,Alpha Humbug,Buckeye Bullet,Hello Warren,Got No Torque,Replication,High Sun
0,"[datetime.datetime(2022, 11, 28, 19, 22, 50, 691095), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 50, 691095), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 50, 691095), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 50, 691095), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 50, 691095), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 50, 691095), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 50, 691095), 19.0, 48.0]"
1,"[datetime.datetime(2022, 11, 28, 19, 22, 51, 824090), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 51, 824090), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 51, 824090), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 51, 824090), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 51, 824090), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 51, 824090), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 51, 824090), 19.0, 48.0]"
2,"[datetime.datetime(2022, 11, 28, 19, 22, 52, 955778), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 52, 955778), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 52, 955778), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 52, 955778), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 52, 955778), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 52, 955778), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 52, 955778), 19.0, 48.0]"
3,"[datetime.datetime(2022, 11, 28, 19, 22, 54, 95188), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 54, 95188), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 54, 95188), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 54, 95188), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 54, 95188), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 54, 95188), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 54, 95188), 19.0, 48.0]"
4,"[datetime.datetime(2022, 11, 28, 19, 22, 55, 216249), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 55, 216249), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 55, 216249), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 55, 216249), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 55, 216249), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 55, 216249), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 55, 216249), 19.0, 48.0]"
5,"[datetime.datetime(2022, 11, 28, 19, 22, 56, 341020), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 56, 341020), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 56, 341020), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 56, 341020), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 56, 341020), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 56, 341020), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 56, 341020), 19.0, 48.0]"
6,"[datetime.datetime(2022, 11, 28, 19, 22, 57, 460931), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 57, 460931), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 57, 460931), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 57, 460931), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 57, 460931), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 57, 460931), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 57, 460931), 19.0, 48.0]"
7,"[datetime.datetime(2022, 11, 28, 19, 22, 58, 583562), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 58, 583562), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 58, 583562), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 58, 583562), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 58, 583562), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 58, 583562), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 58, 583562), 19.0, 48.0]"
8,"[datetime.datetime(2022, 11, 28, 19, 22, 59, 700781), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 22, 59, 700781), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 22, 59, 700781), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 22, 59, 700781), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 22, 59, 700781), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 22, 59, 700781), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 22, 59, 700781), 19.0, 48.0]"
9,"[datetime.datetime(2022, 11, 28, 19, 23, 0, 819284), 4.6, 8.4]","[datetime.datetime(2022, 11, 28, 19, 23, 0, 819284), 41.0, 270.0]","[datetime.datetime(2022, 11, 28, 19, 23, 0, 819284), 1.65, 2.04]","[datetime.datetime(2022, 11, 28, 19, 23, 0, 819284), 4.6, 8.0]","[datetime.datetime(2022, 11, 28, 19, 23, 0, 819284), 8.5, 18.5]","[datetime.datetime(2022, 11, 28, 19, 23, 0, 819284), 14.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 23, 0, 819284), 19.0, 48.0]"
