,Autumn Leaf,Canada Bay,Clovelly,Fearless Thinking,Impacting,Matronymic,Prior Thoughts,So Rosie,Amberina,Fooled Again,Cashmere Inn
08-01-2023 15:41:56.005050,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 26.074074074074073)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.47)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:41:57.296092,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 26.074074074074073)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:41:58.710986,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 26.074074074074073)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:00.011294,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 26.074074074074073)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:01.307026,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 26.074074074074073)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:02.557533,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 26.074074074074073)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:03.797433,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 26.074074074074073)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:05.078516,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 26.074074074074073)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:06.326487,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 32.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:07.570643,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:08.799014,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:09.999994,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:11.209296,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:12.482965,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.48955223880597)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:13.692688,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61025641025641)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:14.898332,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61025641025641)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:16.118463,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61025641025641)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:17.371853,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61025641025641)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:18.605969,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61025641025641)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:20.016929,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:21.227342,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:22.508606,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:23.825275,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:25.063311,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:26.361237,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:27.614265,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:28.936281,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:30.204788,"(26.0, 65.0, 58.75)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:31.439991,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:32.680124,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.275)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:33.924494,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:35.187077,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.464102564102564)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:36.409677,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61651376146789)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:37.603207,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61651376146789)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
08-01-2023 15:42:38.915468,"(26.0, 65.0, 48.333333333333336)","(4.8, 6.0, 5.61651376146789)","(2.4, 2.8, 2.6921348314606743)","(18.0, 30.0, 26.25)","(71.0, 80.0, 73.33333333333333)","(11.0, 25.0, 24.875)","(21.0, 29.0, 24.5)","(15.0, 27.0, 23.666666666666668)","(3.4, 4.6, 4.058333333333334)","(31.0, 50.0, 40.666666666666664)","(61.0, 230.0, 147.5)"
