,Know Knuckles,Ohoka Coco,Homebush Lauren,Homebush Gracen,Champagne,Homebush Reta,Opawa Cody,Rowdys Message
10,"[datetime.datetime(2022, 11, 28, 11, 19, 30, 689019), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 689019), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 689019), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 689019), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 689019), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 689019), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 689019), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 30, 689019), 6.0, 19.0]"
11,"[datetime.datetime(2022, 11, 28, 11, 19, 31, 817765), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 817765), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 817765), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 817765), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 817765), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 817765), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 817765), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 31, 817765), 6.0, 19.0]"
12,"[datetime.datetime(2022, 11, 28, 11, 19, 32, 947652), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 32, 947652), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 32, 947652), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 32, 947652), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 32, 947652), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 32, 947652), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 32, 947652), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 32, 947652), 6.0, 19.0]"
13,"[datetime.datetime(2022, 11, 28, 11, 19, 34, 79359), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 34, 79359), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 34, 79359), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 34, 79359), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 34, 79359), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 34, 79359), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 34, 79359), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 34, 79359), 6.0, 19.0]"
14,"[datetime.datetime(2022, 11, 28, 11, 19, 35, 208480), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 35, 208480), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 35, 208480), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 35, 208480), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 35, 208480), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 35, 208480), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 35, 208480), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 35, 208480), 6.0, 19.0]"
15,"[datetime.datetime(2022, 11, 28, 11, 19, 36, 371509), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 36, 371509), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 36, 371509), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 36, 371509), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 36, 371509), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 36, 371509), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 36, 371509), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 36, 371509), 6.0, 19.0]"
16,"[datetime.datetime(2022, 11, 28, 11, 19, 37, 520865), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 37, 520865), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 37, 520865), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 37, 520865), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 37, 520865), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 37, 520865), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 37, 520865), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 37, 520865), 6.0, 19.0]"
17,"[datetime.datetime(2022, 11, 28, 11, 19, 38, 643773), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 38, 643773), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 38, 643773), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 38, 643773), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 38, 643773), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 38, 643773), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 38, 643773), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 38, 643773), 6.0, 19.0]"
18,"[datetime.datetime(2022, 11, 28, 11, 19, 39, 788292), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 39, 788292), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 39, 788292), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 39, 788292), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 39, 788292), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 39, 788292), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 39, 788292), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 39, 788292), 6.0, 19.0]"
19,"[datetime.datetime(2022, 11, 28, 11, 19, 40, 949855), 3.7, 6.4]","[datetime.datetime(2022, 11, 28, 11, 19, 40, 949855), 13.0, 28.0]","[datetime.datetime(2022, 11, 28, 11, 19, 40, 949855), 18.0, 140.0]","[datetime.datetime(2022, 11, 28, 11, 19, 40, 949855), 26.0, 200.0]","[datetime.datetime(2022, 11, 28, 11, 19, 40, 949855), 2.45, 4.9]","[datetime.datetime(2022, 11, 28, 11, 19, 40, 949855), 11.0, 36.0]","[datetime.datetime(2022, 11, 28, 11, 19, 40, 949855), 4.4, 16.0]","[datetime.datetime(2022, 11, 28, 11, 19, 40, 949855), 6.0, 19.0]"
