,Brutal Viking,Can She Hurdle,Sweet City Angel,Almost Famous,Cartel Master,Ultimate Hit
09-01-2023 14:15:41.381039,"(13.0, 40.0, 26.4)","(7.0, 14.0, 12.427272727272726)","(1.55, 1.58, 1.5738028169014084)","(8.5, 27.0, 25.4375)","(6.5, 11.5, 9.8125)","(9.0, 16.5, 11.884615384615383)"
09-01-2023 14:15:42.491590,"(13.0, 40.0, 26.933333333333334)","(7.0, 13.5, 12.427272727272726)","(1.55, 1.58, 1.5738028169014084)","(8.5, 27.0, 25.4375)","(6.5, 11.5, 9.8125)","(9.0, 16.5, 11.884615384615383)"
09-01-2023 14:15:43.578559,"(13.0, 40.0, 26.933333333333334)","(7.0, 14.5, 13.245454545454546)","(1.55, 1.58, 1.5738028169014084)","(8.5, 27.0, 25.3125)","(6.5, 11.5, 9.8125)","(9.0, 16.5, 11.884615384615383)"
09-01-2023 14:15:44.618191,"(13.0, 40.0, 26.933333333333334)","(7.0, 14.5, 12.035714285714285)","(1.55, 1.58, 1.5738028169014084)","(8.5, 30.0, 22.266666666666666)","(6.5, 11.5, 9.8125)","(9.0, 16.5, 11.884615384615383)"
09-01-2023 14:15:45.744987,"(13.0, 40.0, 26.933333333333334)","(7.0, 14.5, 11.252941176470587)","(1.55, 1.58, 1.5738028169014084)","(8.5, 30.0, 22.266666666666666)","(6.5, 11.5, 9.8125)","(9.0, 16.5, 11.884615384615383)"
09-01-2023 14:15:46.764512,"(13.0, 40.0, 26.933333333333334)","(7.0, 14.5, 11.252941176470587)","(1.55, 1.58, 1.5738028169014084)","(8.5, 30.0, 22.266666666666666)","(6.5, 11.5, 9.8125)","(9.0, 16.5, 12.75)"
09-01-2023 14:15:47.745145,"(13.0, 40.0, 22.545454545454547)","(7.0, 14.5, 11.252941176470587)","(1.55, 1.58, 1.5738028169014084)","(8.5, 30.0, 19.81818181818182)","(6.5, 11.5, 9.8125)","(9.0, 15.5, 14.0)"
09-01-2023 14:15:48.689576,"(13.0, 40.0, 22.909090909090907)","(7.0, 14.5, 11.252941176470587)","(1.55, 1.58, 1.5738028169014084)","(8.5, 30.0, 22.53333333333333)","(6.5, 11.5, 9.8125)","(9.0, 16.0, 14.0)"
09-01-2023 14:15:49.680442,"(13.0, 40.0, 27.46666666666667)","(7.0, 14.5, 11.252941176470587)","(1.55, 1.58, 1.5738028169014084)","(8.5, 30.0, 22.8)","(6.5, 11.5, 9.8125)","(9.0, 16.0, 14.0)"
09-01-2023 14:15:50.737041,"(13.0, 40.0, 27.46666666666667)","(7.0, 14.5, 11.252941176470587)","(1.55, 1.58, 1.5738028169014084)","(8.5, 30.0, 22.8)","(6.5, 11.5, 9.8125)","(9.0, 16.0, 14.0)"
