,Cosmic Bruce,Head Bin,Sugar Your Sweet,Moraine Chloe,Umbilical Man,Tiggys Em,Inga Sally,Rebels Spark
09-01-2023 14:12:08.279116,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.5, 3.3066666666666666)","(12.0, 120.0, 42.5)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:09.380116,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 120.0, 42.5)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:10.544346,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:11.656256,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:13.049488,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:14.284821,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:15.379646,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:16.569442,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:17.748873,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
09-01-2023 14:12:18.825771,"(2.7, 4.5, 2.8629629629629627)","(15.0, 32.0, 21.444444444444443)","(26.0, 290.0, 138.57142857142856)","(2.9, 4.2, 3.3066666666666666)","(12.0, 50.0, 42.3)","(11.0, 21.0, 17.666666666666668)","(8.5, 15.0, 10.333333333333334)","(5.0, 7.6, 6.85)"
