,Prota,Tringale,Confusion Baby Boy,Antipoison,Yabba Dabba Dude,Northern Ridge,Trustyourinstinct,Nick The Cardshark
15-12-2022 11:47:23.227746,"(6.0, 13.0, 10.0)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 23.0, 20.72222222222222)","(31.0, 190.0, 102.75)","(10.0, 19.5, 15.5)","(2.0, 2.54, 2.5)","(4.6, 12.0, 9.56)"
15-12-2022 11:47:24.376852,"(6.0, 13.0, 10.0)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 190.0, 102.75)","(10.0, 19.5, 15.5)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.56)"
15-12-2022 11:47:25.607080,"(6.0, 13.0, 10.0)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 190.0, 102.75)","(10.0, 19.5, 15.5)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.56)"
15-12-2022 11:47:26.727333,"(6.0, 13.0, 10.0)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 190.0, 102.75)","(10.0, 19.5, 15.5)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.56)"
15-12-2022 11:47:27.755694,"(6.0, 13.0, 10.0)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 190.0, 197.75)","(10.0, 19.5, 15.5)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.56)"
15-12-2022 11:47:28.752511,"(6.0, 13.0, 11.0)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 380.0, 197.75)","(10.0, 19.5, 15.5)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.56)"
15-12-2022 11:47:29.796467,"(6.0, 13.0, 10.0)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 380.0, 197.75)","(10.0, 19.5, 15.5)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.56)"
15-12-2022 11:47:30.892508,"(6.0, 13.0, 10.0)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 380.0, 197.75)","(10.0, 19.5, 15.5)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.68)"
15-12-2022 11:47:32.035283,"(6.0, 13.0, 10.6)","(7.5, 12.5, 9.933333333333334)","(31.0, 380.0, 306.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 380.0, 102.75)","(10.0, 19.5, 17.214285714285715)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:33.212673,"(6.0, 13.0, 10.6)","(7.5, 12.5, 9.46)","(31.0, 190.0, 154.5)","(12.0, 22.0, 20.72222222222222)","(31.0, 190.0, 102.75)","(10.0, 19.5, 17.75)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:34.413177,"(6.0, 13.0, 10.6)","(7.5, 12.0, 10.25)","(31.0, 190.0, 154.5)","(12.0, 22.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:35.623144,"(6.0, 13.0, 10.6)","(7.5, 11.5, 10.318181818181818)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.76)"
15-12-2022 11:47:36.863937,"(6.0, 13.0, 10.6)","(7.5, 12.0, 9.24)","(31.0, 190.0, 154.5)","(12.0, 23.0, 20.5)","(31.0, 190.0, 102.75)","(10.0, 19.0, 17.75)","(2.0, 2.68, 2.5)","(4.6, 12.0, 9.76)"
