,In Jubalation,Thunderinreadyrick,Bright Dawn,Spectaculo,Spirit Of Windsor,Siente El Amor,Executive Prize,Remys Gunsmoke
08-01-2023 10:10:23.723876,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:24.677184,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:25.646319,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:26.600490,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:27.572870,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:28.534746,"(10.0, 15.5, 12.5)","(3.6, 27.0, 24.634999999999998)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:29.485674,"(10.0, 15.5, 12.5)","(3.6, 27.0, 24.634999999999998)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:30.410255,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.200000000000001)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:31.326660,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.200000000000001)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:32.273860,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.200000000000001)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.088888888888889)"
08-01-2023 10:10:33.215754,"(10.0, 15.5, 12.5)","(3.6, 25.0, 23.92)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.6, 6.088888888888889)"
08-01-2023 10:10:34.170237,"(10.0, 15.5, 12.5)","(3.6, 25.0, 19.6125)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:35.111700,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.25)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.0)"
08-01-2023 10:10:36.059683,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.25)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.0)"
08-01-2023 10:10:37.010607,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.25)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:37.957950,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.25)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:38.918926,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.25)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:39.866689,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.25)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:40.806541,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.25)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:41.760751,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.25)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:42.707252,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 4.5600000000000005)","(3.4, 4.7, 4.025)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:43.661458,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 4.5600000000000005)","(3.4, 4.7, 4.025)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:44.582611,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 4.5600000000000005)","(3.4, 4.7, 4.025)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:45.527053,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 4.5600000000000005)","(3.4, 230.0, 192.225)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:46.460311,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 4.5600000000000005)","(3.4, 230.0, 192.225)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:47.411347,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 6.963636363636363)","(3.4, 230.0, 116.675)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:48.365134,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 4.5600000000000005)","(3.4, 230.0, 216.66470588235293)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:49.323342,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 4.5600000000000005)","(3.4, 230.0, 216.66470588235293)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:50.266586,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 4.5600000000000005)","(3.4, 230.0, 216.66470588235293)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:51.203703,"(10.0, 15.5, 11.214285714285715)","(3.6, 9.0, 6.25)","(3.4, 230.0, 211.11666666666667)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 60.5)","(15.0, 230.0, 97.83333333333333)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:52.149177,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.0, 4.433333333333334)","(3.4, 4.6, 3.84)","(13.0, 30.0, 23.0)","(5.5, 8.6, 6.3999999999999995)","(18.0, 70.0, 51.0)","(15.0, 140.0, 97.83333333333333)","(4.8, 6.4, 6.0)"
08-01-2023 10:10:53.094745,"(10.0, 15.5, 11.214285714285715)","(3.6, 6.8, 5.175)","(3.4, 4.5, 4.3307692307692305)","(13.0, 30.0, 23.0)","(5.5, 8.6, 6.3999999999999995)","(18.0, 70.0, 51.166666666666664)","(15.0, 140.0, 97.83333333333333)","(4.8, 6.4, 6.0)"
08-01-2023 10:10:54.038355,"(10.0, 15.5, 11.214285714285715)","(3.6, 6.8, 5.175)","(3.4, 4.5, 4.3307692307692305)","(13.0, 30.0, 23.0)","(5.5, 8.6, 6.3999999999999995)","(18.0, 70.0, 51.166666666666664)","(15.0, 140.0, 97.83333333333333)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:55.003604,"(10.0, 15.5, 11.214285714285715)","(3.6, 6.8, 5.175)","(3.4, 4.5, 4.3307692307692305)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 46.75)","(15.0, 140.0, 157.83333333333334)","(4.8, 6.4, 5.233333333333333)"
08-01-2023 10:10:55.946712,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.4, 5.688888888888889)","(3.4, 4.7, 4.411111111111111)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.5, 5.233333333333333)"
08-01-2023 10:10:56.884282,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.4, 5.86)","(3.4, 4.7, 4.411111111111111)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.5, 5.233333333333333)"
08-01-2023 10:10:57.842094,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.4, 5.86)","(3.4, 4.7, 4.411111111111111)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.5, 5.2625)"
08-01-2023 10:10:58.792318,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.4, 6.4375)","(3.4, 4.7, 4.535294117647059)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.4, 5.2625)"
08-01-2023 10:10:59.741960,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.678571428571429)","(3.4, 4.7, 4.3)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.4, 5.2625)"
08-01-2023 10:11:00.677587,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.678571428571429)","(3.4, 4.7, 3.89)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.4, 5.2625)"
08-01-2023 10:11:01.632076,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.678571428571429)","(3.4, 4.7, 3.89)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.4, 5.2625)"
08-01-2023 10:11:02.560761,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.678571428571429)","(3.4, 4.7, 3.89)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.4, 5.2625)"
08-01-2023 10:11:03.500239,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.678571428571429)","(3.4, 4.7, 3.89)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.4, 5.2625)"
08-01-2023 10:11:04.448051,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.678571428571429)","(3.4, 4.7, 3.89)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 80.0, 46.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.4, 4.604347826086956)"
08-01-2023 10:11:05.397621,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.678571428571429)","(3.4, 4.7, 3.89)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:06.355169,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.678571428571429)","(3.4, 4.7, 4.025)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:07.288528,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 5.425)","(3.4, 4.9, 4.383333333333334)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:08.238655,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.016666666666667)","(3.4, 4.9, 4.383333333333334)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:09.172230,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.016666666666667)","(3.4, 4.9, 4.383333333333334)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:10.117972,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.016666666666667)","(3.4, 4.9, 4.383333333333334)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:11.077897,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.016666666666667)","(3.4, 4.9, 4.383333333333334)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:12.013091,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.016666666666667)","(3.4, 4.9, 4.533333333333333)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:12.944566,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.692857142857143)","(3.4, 4.9, 4.533333333333333)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:13.877884,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.692857142857143)","(3.4, 4.9, 4.533333333333333)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 51.75)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:14.833511,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.692857142857143)","(3.4, 4.9, 4.533333333333333)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 90.0, 42.33333333333333)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:15.767875,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 6.49)","(3.4, 5.1, 4.688888888888888)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 100.0, 42.33333333333333)","(15.0, 230.0, 157.83333333333334)","(4.8, 5.3, 4.604347826086956)"
08-01-2023 10:11:16.707359,"(10.0, 15.5, 11.214285714285715)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.246153846153846)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 198.92857142857144)","(4.8, 5.3, 4.514285714285714)"
08-01-2023 10:11:17.645960,"(10.0, 15.5, 12.666666666666668)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.02)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 198.92857142857144)","(4.8, 5.2, 4.514285714285714)"
08-01-2023 10:11:18.584152,"(10.0, 15.5, 12.666666666666668)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.02)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 198.92857142857144)","(4.8, 5.2, 4.514285714285714)"
08-01-2023 10:11:19.541453,"(10.0, 15.5, 12.666666666666668)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.02)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.4799999999999995)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:20.477973,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:21.418208,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:22.357210,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:23.293390,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:24.227841,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:25.170544,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 100.0, 60.66666666666667)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:26.120482,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:27.064717,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:28.018960,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:28.955907,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:29.903196,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 6.49)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:30.864343,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:31.797885,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:32.727327,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:33.670982,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.457142857142857)"
08-01-2023 10:11:34.631698,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 5.1, 4.585714285714285)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.68)"
08-01-2023 10:11:35.574993,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 6.49)","(3.4, 4.9, 4.3)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.2, 4.8)"
08-01-2023 10:11:36.518523,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 4.9, 4.3)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.1, 4.8)"
08-01-2023 10:11:37.473836,"(10.0, 15.5, 12.128571428571428)","(3.6, 7.2, 5.45)","(3.4, 4.9, 4.3)","(13.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(15.0, 230.0, 186.8)","(4.8, 5.1, 4.800000000000001)"
08-01-2023 10:11:38.408822,"(9.0, 15.5, 12.128571428571428)","(3.8, 7.2, 6.49)","(3.5, 4.9, 4.3)","(14.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(18.0, 230.0, 186.8)","(4.2, 5.4, 4.800000000000001)"
08-01-2023 10:11:39.352158,"(9.0, 15.5, 12.128571428571428)","(3.8, 7.2, 6.49)","(3.5, 4.9, 4.3)","(14.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(18.0, 230.0, 186.8)","(4.2, 5.4, 4.949999999999999)"
08-01-2023 10:11:40.289639,"(9.0, 15.5, 12.128571428571428)","(3.8, 7.2, 5.45)","(3.5, 4.9, 4.3)","(14.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(18.0, 230.0, 186.8)","(4.2, 5.3, 4.949999999999999)"
08-01-2023 10:11:41.234664,"(9.0, 15.5, 12.128571428571428)","(3.8, 7.2, 5.45)","(3.5, 4.8, 4.457142857142857)","(14.0, 32.0, 20.857142857142858)","(5.5, 8.6, 7.88)","(18.0, 230.0, 193.58333333333331)","(18.0, 230.0, 186.8)","(4.2, 5.3, 4.949999999999999)"
