,Dazzling Cruiser,Hot Sky,Victa Indi,Ragin Skywalker,Springvale Chip
09-01-2023 17:48:24.366465,"(5.0, 13.0, 9.266666666666666)","(2.2, 2.94, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 26.0, 23.875)"
09-01-2023 17:48:25.355086,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 28.0, 23.875)"
09-01-2023 17:48:26.291196,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 28.0, 23.875)"
09-01-2023 17:48:27.329785,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 28.0, 23.875)"
09-01-2023 17:48:28.278808,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 28.0, 23.875)"
09-01-2023 17:48:29.289787,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 28.0, 23.875)"
09-01-2023 17:48:30.507178,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 28.0, 23.799999999999997)"
09-01-2023 17:48:31.537679,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 32.0, 23.75)"
09-01-2023 17:48:32.538676,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 36.0, 23.75)"
09-01-2023 17:48:33.428382,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 36.0, 23.75)"
09-01-2023 17:48:34.427699,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 13.0, 10.63888888888889)","(3.0, 4.2, 3.325)","(13.0, 36.0, 29.318181818181817)"
09-01-2023 17:48:35.405503,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 9.8, 9.280392156862746)","(3.0, 4.2, 3.1818181818181817)","(13.0, 36.0, 29.454545454545453)"
09-01-2023 17:48:36.423114,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.2134146341463414)","(5.5, 9.8, 9.280392156862746)","(3.0, 4.2, 3.1818181818181817)","(13.0, 36.0, 29.454545454545453)"
09-01-2023 17:48:37.394050,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.3045454545454547)","(5.5, 9.8, 9.280392156862746)","(3.0, 4.2, 3.096)","(13.0, 36.0, 29.454545454545453)"
09-01-2023 17:48:38.380848,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.3045454545454547)","(5.5, 9.8, 9.280392156862746)","(3.0, 4.2, 3.096)","(13.0, 36.0, 29.454545454545453)"
09-01-2023 17:48:39.284621,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.3045454545454547)","(5.5, 9.8, 9.280392156862746)","(3.0, 4.2, 3.096)","(13.0, 36.0, 29.454545454545453)"
09-01-2023 17:48:40.180411,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.3045454545454547)","(5.5, 9.8, 9.280392156862746)","(3.0, 4.2, 3.096)","(13.0, 36.0, 29.454545454545453)"
09-01-2023 17:48:41.052044,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.3045454545454547)","(5.5, 9.8, 9.280392156862746)","(3.0, 4.2, 3.096)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:41.936171,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.3045454545454547)","(5.5, 9.8, 9.280392156862746)","(3.0, 4.2, 3.096)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:42.829769,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.3045454545454547)","(5.5, 17.5, 17.22340425531915)","(3.0, 4.2, 3.096)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:43.785242,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.55, 2.096341463414634)","(5.5, 17.5, 17.22340425531915)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
09-01-2023 17:48:44.632451,"(5.0, 13.0, 7.466666666666667)","(2.2, 3.15, 2.0865853658536584)","(5.5, 17.5, 17.089473684210525)","(3.0, 4.2, 2.8823529411764706)","(13.0, 32.0, 28.0)"
