,Cuckoo Coconuts,Blazing Arizona,Aerobic Rouge,Starlight Nelly,Our Matriarch,Blazin Caza,Neon Alley,Cheers Vicki
14-12-2022 11:54:29.540974,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:30.593736,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:31.595602,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:32.623336,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:33.633335,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:34.644027,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:35.654381,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:36.644248,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:37.786787,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:38.875372,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:39.873781,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:40.968642,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:42.018359,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.025)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:43.124620,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:44.295189,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
14-12-2022 11:54:45.346350,"(9.0, 29.0, 16.066666666666666)","(91.0, 650.0, 555.8333333333334)","(31.0, 90.0, 44.53333333333333)","(41.0, 330.0, 187.0)","(2.8, 4.4, 3.7625)","(2.35, 3.2, 3.0788461538461536)","(71.0, 580.0, 534.5454545454545)","(3.1, 4.7, 3.6866666666666665)"
