,Belriah,Definitely Maybe,Overriding,Galactic Angel,Harmony Halo,Painite
07-01-2023 13:43:56.485497,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6078947368421053)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:43:57.512331,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6078947368421053)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:43:58.406508,"(9.0, 18.0, 13.1)","(7.0, 17.0, 11.0)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:43:59.342091,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:00.277087,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:01.216043,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:02.198110,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:03.240123,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:04.152682,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
07-01-2023 13:44:05.105682,"(9.0, 18.0, 13.1)","(7.0, 13.0, 10.5)","(1.5, 1.69, 1.6)","(4.2, 6.6, 5.685714285714285)","(21.0, 30.0, 26.4)","(21.0, 30.0, 25.76923076923077)"
