,Gary Said,Pennys Lad,Fade,Spanish Style,Pang,Seedless,Once You Go,Bravo One
08-01-2023 11:44:26.784280,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.475)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:27.735240,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:28.695984,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:29.657546,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:30.624957,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:31.602856,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:32.565699,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:33.542798,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:34.535029,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:35.582114,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:36.585052,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:37.546239,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:38.518470,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:39.491554,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 48.0, 27.375)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 467.0)","(10.0, 22.0, 15.9)","(31.0, 100.0, 48.57142857142857)","(71.0, 590.0, 503.33333333333337)"
08-01-2023 11:44:40.631184,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 26.625)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:41.621255,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:42.635490,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:43.693332,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:44.744142,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:45.811583,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:46.774305,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:47.751023,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:48.744570,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
08-01-2023 11:44:49.700714,"(2.7, 4.7, 4.308)","(5.5, 10.0, 6.550000000000001)","(15.0, 46.0, 29.46666666666667)","(1.85, 2.44, 1.9428571428571428)","(61.0, 570.0, 283.8888888888889)","(10.0, 22.0, 15.9)","(31.0, 100.0, 42.4)","(71.0, 590.0, 532.2222222222222)"
