,Rapid Renegade,Layla,Clansman Douglas,Vixen Jenny,Express Way,Commissar,Just Like Lucy,Love Race
11-01-2023 12:05:32.498580,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:33.562594,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:34.684866,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:35.835772,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:36.935248,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:37.956865,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:38.996599,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:40.064678,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:41.165117,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
11-01-2023 12:05:42.246422,"(7.5, 20.0, 19.258823529411764)","(5.5, 8.4, 7.790476190476191)","(10.0, 32.0, 29.488888888888887)","(6.0, 9.6, 8.778947368421052)","(7.0, 12.5, 11.35625)","(5.0, 10.5, 8.850000000000001)","(5.5, 13.0, 11.266666666666666)","(4.4, 7.0, 6.1173913043478265)"
