,Hendy,Canya Bellatrix,Fleet Feet Pete,Tuta Rose,Dont Tell Helen,Master Blake
04-01-2023 14:56:26.200194,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:27.272796,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:28.373082,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:29.343990,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:30.251263,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:31.260923,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:32.275622,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:33.293848,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:34.336136,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:35.197382,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:36.225882,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 19.0)"
04-01-2023 14:56:37.295848,"(2.25, 4.3, 3.2973333333333334)","(14.0, 48.0, 27.0625)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 22.75)"
04-01-2023 14:56:38.364423,"(2.25, 4.3, 3.8490909090909087)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 22.75)"
04-01-2023 14:56:39.470483,"(2.25, 4.3, 2.828)","(14.0, 48.0, 29.666666666666664)","(4.0, 6.0, 5.283333333333333)","(61.0, 490.0, 248.9090909090909)","(2.45, 2.9, 2.4741935483870967)","(12.0, 34.0, 22.75)"
