,Our Girl Lola,Optimus Bruce,Angelic Tess,Bugatti Bro,Rockstar Fender,Running Reds,Despicable Jason,Mighty Titan
07-12-2022 13:54:47.446787,"(3.9, 8.2, 5.8)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:54:48.834267,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:54:50.201237,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:54:51.502020,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:54:52.790923,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:54:54.176944,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:54:55.596327,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:54:57.386637,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:54:58.892958,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:00.367978,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:01.783335,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:03.211794,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:04.668183,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 6.2384615384615385)","(4.4, 7.8, 5.55)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:06.126982,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.7)","(4.4, 7.8, 5.133333333333333)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:07.532641,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.7)","(4.4, 7.8, 5.133333333333333)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:08.936912,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 96.66666666666667)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.7)","(4.4, 7.8, 5.133333333333333)","(71.0, 580.0, 495.83333333333337)"
07-12-2022 13:55:10.297151,"(3.9, 6.8, 5.866666666666667)","(8.0, 14.0, 12.285714285714285)","(4.2, 7.8, 5.517391304347826)","(31.0, 150.0, 76.42857142857143)","(4.8, 9.8, 6.800000000000001)","(4.6, 7.2, 5.7)","(4.4, 7.8, 5.133333333333333)","(71.0, 580.0, 495.83333333333337)"
