,Singin Jules,Toxic Impurities,Mine Master,Go Goose Go,Bruisin Bull,Casino Rose,Psychotic Babe,Flying Foo Foo
04-01-2023 11:38:29.849022,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:30.941050,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:32.039947,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:33.036414,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:34.029040,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:35.007989,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:36.028718,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:37.098690,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:38.155820,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
04-01-2023 11:38:39.216753,"(4.8, 8.0, 7.54054054054054)","(8.5, 20.0, 16.95)","(7.0, 12.5, 11.695454545454545)","(7.0, 14.0, 13.263157894736842)","(21.0, 85.0, 55.22727272727273)","(19.0, 70.0, 53.59375)","(2.15, 3.35, 2.1864444444444446)","(7.0, 15.0, 14.432432432432432)"
