,Lees Bonus,Who Split Tens,Handsome Alert,Over Thinking,Omar Dutton,Once Again,Skinny Wit,All Lies Ahead
08-01-2023 17:14:04.889521,"(51.0, 440.0, 206.15384615384616)","(21.0, 85.0, 53.0)","(91.0, 580.0, 524.4444444444445)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 154.8)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:06.099805,"(51.0, 440.0, 206.15384615384616)","(21.0, 85.0, 53.0)","(91.0, 580.0, 524.4444444444445)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 154.8)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:07.217465,"(51.0, 440.0, 206.15384615384616)","(21.0, 85.0, 53.0)","(91.0, 580.0, 524.4444444444445)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 154.8)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:08.365626,"(51.0, 440.0, 206.15384615384616)","(21.0, 85.0, 53.0)","(91.0, 580.0, 524.4444444444445)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 154.8)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:09.550947,"(51.0, 440.0, 206.15384615384616)","(21.0, 85.0, 53.0)","(91.0, 580.0, 524.4444444444445)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 154.8)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:10.758633,"(51.0, 440.0, 206.15384615384616)","(21.0, 85.0, 53.0)","(91.0, 580.0, 524.4444444444445)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:11.927346,"(51.0, 440.0, 250.0)","(21.0, 85.0, 53.0)","(91.0, 580.0, 496.66666666666663)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:13.126312,"(51.0, 440.0, 250.0)","(21.0, 85.0, 53.0)","(91.0, 580.0, 496.66666666666663)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:14.396310,"(51.0, 440.0, 250.0)","(21.0, 85.0, 53.0)","(91.0, 580.0, 496.66666666666663)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:15.702728,"(51.0, 440.0, 250.0)","(21.0, 85.0, 53.0)","(91.0, 580.0, 496.66666666666663)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:16.906205,"(51.0, 440.0, 250.0)","(21.0, 85.0, 53.0)","(91.0, 580.0, 496.66666666666663)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:18.065233,"(51.0, 440.0, 250.0)","(21.0, 85.0, 53.0)","(91.0, 580.0, 496.66666666666663)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:19.271831,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:20.501841,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:21.925186,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:23.087501,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:24.238869,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:25.438547,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:26.648071,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:27.892989,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:29.120976,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:30.245929,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.0)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:31.431584,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.5)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
08-01-2023 17:14:32.612489,"(51.0, 440.0, 119.16666666666667)","(21.0, 95.0, 58.5)","(91.0, 580.0, 507.14285714285717)","(2.5, 3.5, 2.680952380952381)","(2.35, 3.85, 2.445535714285714)","(26.0, 130.0, 78.5)","(41.0, 330.0, 150.3076923076923)","(2.9, 4.6, 3.556)"
