,Skyla Blue,Rock On Hunter,Tilly Banner,Abby Road,Natisas Sparkle,Zambora Blaster
09-01-2023 17:06:28.057469,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:29.258038,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:30.395965,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:31.437256,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:32.456969,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:33.683831,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:34.904902,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:36.088187,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:37.162431,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
09-01-2023 17:06:38.282697,"(3.1, 5.1, 4.033333333333333)","(9.0, 18.0, 13.7)","(4.0, 6.2, 4.775)","(21.0, 65.0, 33.72727272727273)","(2.35, 3.3, 2.917777777777778)","(8.0, 15.5, 11.85)"
