,Adrett,Ariana Blue,Detoron,Eternal Flame,Kaya,Khalida,New York Scandal,Real Alliance,Rubikai,Shaime,Shatusla,Your Shout Gingie
12-01-2023 18:23:25.018602,"(11.0, 13.0, 12.06578947368421)","(15.0, 24.0, 23.55)","(5.0, 5.9, 5.8100000000000005)","(19.0, 24.0, 21.75)","(11.0, 19.5, 19.285714285714285)","(16.0, 22.0, 21.135135135135137)","(13.0, 18.5, 17.625)","(71.0, 200.0, 184.0)","(4.6, 6.8, 6.426666666666667)","(2.8, 3.2, 3.1340000000000003)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.5)"
12-01-2023 18:23:26.782532,"(11.0, 13.0, 12.096385542168674)","(15.0, 24.0, 22.0)","(5.0, 5.9, 5.8100000000000005)","(19.0, 24.0, 21.75)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.135135135135137)","(13.0, 18.5, 18.076923076923077)","(71.0, 200.0, 184.0)","(4.6, 6.8, 6.556521739130435)","(2.8, 3.2, 3.068)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.5)"
12-01-2023 18:23:28.572496,"(11.0, 13.0, 12.0625)","(15.0, 24.0, 22.8)","(5.0, 5.9, 5.8100000000000005)","(19.0, 24.0, 21.75)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.135135135135137)","(13.0, 19.0, 18.294117647058822)","(71.0, 200.0, 184.0)","(4.6, 6.8, 6.556521739130435)","(2.8, 3.2, 3.035)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 67.5)"
12-01-2023 18:23:30.382383,"(11.0, 13.0, 12.0625)","(15.0, 24.0, 23.6)","(5.0, 5.9, 5.8100000000000005)","(19.0, 24.0, 22.615384615384617)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 20.25)","(13.0, 19.0, 17.73076923076923)","(71.0, 200.0, 176.66666666666666)","(4.6, 6.8, 6.545454545454546)","(2.8, 3.2, 3.0166666666666666)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:32.171952,"(11.0, 13.0, 12.596590909090908)","(15.0, 24.0, 23.6)","(5.0, 5.9, 5.8100000000000005)","(19.0, 24.0, 22.75)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 20.133333333333333)","(13.0, 19.0, 17.40909090909091)","(71.0, 200.0, 184.44444444444446)","(4.6, 6.8, 6.545454545454546)","(2.8, 3.2, 3.0533333333333332)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:33.915484,"(11.0, 13.0, 12.596590909090908)","(15.0, 24.0, 23.6)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.75)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 20.133333333333333)","(13.0, 18.5, 17.40909090909091)","(71.0, 200.0, 184.44444444444446)","(4.6, 6.8, 6.545454545454546)","(2.8, 3.2, 3.0533333333333332)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:35.680355,"(11.0, 13.0, 12.596590909090908)","(15.0, 24.0, 23.6)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.75)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 20.133333333333333)","(13.0, 18.5, 17.40909090909091)","(71.0, 200.0, 184.44444444444446)","(4.6, 6.8, 6.545454545454546)","(2.8, 3.2, 3.0533333333333332)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:37.437055,"(11.0, 13.0, 12.596590909090908)","(15.0, 24.0, 23.6)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.75)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 20.727272727272727)","(13.0, 18.5, 17.642857142857142)","(71.0, 200.0, 184.44444444444446)","(4.6, 6.8, 6.545454545454546)","(2.8, 3.2, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:39.237654,"(11.0, 13.0, 12.616438356164384)","(15.0, 24.0, 23.6)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.75)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.575757575757574)","(13.0, 18.5, 17.642857142857142)","(71.0, 200.0, 172.0)","(4.6, 6.8, 6.676923076923077)","(2.8, 3.1, 3.004)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:40.955433,"(11.0, 13.0, 12.616438356164384)","(15.0, 24.0, 23.6)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.789473684210527)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.575757575757574)","(13.0, 18.5, 17.45)","(71.0, 200.0, 186.66666666666669)","(4.6, 7.0, 6.545454545454546)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:42.655012,"(11.0, 13.0, 12.616438356164384)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.789473684210527)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.575757575757574)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 186.66666666666669)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:44.380305,"(11.0, 13.0, 12.616438356164384)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.6)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.575757575757574)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 186.66666666666669)","(4.6, 6.8, 6.6)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:46.021558,"(11.0, 13.0, 12.616438356164384)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.6)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 186.66666666666669)","(4.6, 6.8, 6.545454545454546)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
12-01-2023 18:23:47.727984,"(11.0, 13.0, 12.616438356164384)","(15.0, 24.0, 22.714285714285715)","(5.0, 5.9, 5.8100000000000005)","(19.0, 23.0, 22.6)","(11.0, 19.5, 19.3125)","(16.0, 22.0, 21.588235294117645)","(13.0, 18.5, 17.692307692307693)","(71.0, 200.0, 186.66666666666669)","(4.6, 6.8, 6.545454545454546)","(2.8, 3.1, 2.9909090909090907)","(31.0, 100.0, 97.22222222222223)","(26.0, 75.0, 50.833333333333336)"
