,Glory Daze,Morrissy,My Mate Sonny,Yulong Patrol,Imperial Hilton,Intellective,Pythagoras,Delightful Scoop,Fabians Spirit,Lets Atom,Warlist
08-01-2023 14:43:56.404242,"(2.9, 3.4, 3.3916666666666666)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.7875)","(4.2, 6.2, 6.046153846153846)","(18.0, 60.0, 57.15384615384615)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:43:57.707279,"(2.9, 3.4, 3.3916666666666666)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.7875)","(4.2, 6.2, 6.046153846153846)","(18.0, 60.0, 57.15384615384615)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:43:59.086285,"(2.9, 3.4, 3.3916666666666666)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.12)","(4.2, 6.2, 6.046153846153846)","(18.0, 60.0, 57.15384615384615)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:00.419908,"(2.9, 3.4, 3.3916666666666666)","(4.0, 4.8, 4.797163120567376)","(7.5, 11.5, 11.12)","(4.2, 6.2, 6.046153846153846)","(18.0, 60.0, 57.15384615384615)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:01.820623,"(2.9, 3.4, 3.3916666666666666)","(4.0, 4.8, 4.797163120567376)","(7.5, 11.5, 11.12)","(4.2, 6.2, 6.046153846153846)","(18.0, 60.0, 57.15384615384615)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:03.050816,"(2.9, 3.4, 3.3916666666666666)","(4.0, 4.8, 4.797163120567376)","(7.5, 11.5, 11.12)","(4.2, 6.2, 6.046153846153846)","(18.0, 60.0, 57.15384615384615)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:04.321699,"(2.9, 3.4, 3.3902439024390243)","(4.0, 4.8, 4.797163120567376)","(7.5, 11.5, 11.12)","(4.2, 6.2, 6.046153846153846)","(18.0, 60.0, 57.15384615384615)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:05.554630,"(2.9, 3.4, 3.3902439024390243)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.8625)","(4.2, 6.2, 6.046153846153846)","(18.0, 60.0, 57.15384615384615)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:06.807638,"(2.9, 3.4, 3.3285714285714283)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 10.8625)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 58.15)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
08-01-2023 14:44:08.186627,"(2.9, 3.4, 3.3285714285714283)","(4.0, 4.8, 4.795774647887324)","(7.5, 11.5, 11.216666666666667)","(4.2, 6.2, 5.88421052631579)","(18.0, 60.0, 58.15)","(7.0, 9.8, 9.787500000000001)","(10.0, 14.5, 13.642857142857142)","(101.0, 220.0, 160.0)","(101.0, 190.0, 158.33333333333334)","(101.0, 230.0, 195.0)","(101.0, 350.0, 255.0)"
