,Our Bondi Beach,Parama Nz,Majordoit,Dikerry Nz,Golightly,Bitcoin,Feelingforarainbow,Rocknroll Classic,Mohs Em Down Nz,Courageous Saint
10-01-2023 16:58:58.984867,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:00.259677,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:01.519803,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:02.757733,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:04.004133,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:05.298224,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:06.558878,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:07.773744,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:08.991207,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
10-01-2023 16:59:10.248557,"(7.5, 13.0, 10.857142857142858)","(3.0, 99999, 99990)","(12.0, 19.5, 14.833333333333334)","(26.0, 99999, 99990)","(31.0, 60.0, 43.0)","(3.3, 4.9, 4.050000000000001)","(6.0, 10.0, 7.95)","(9.0, 16.5, 14.0)","(101.0, 99999, 99990)","(8.5, 15.5, 13.471428571428572)"
