,Vive El Momento,Platinum Frolic,Gossiping,Party Monster,Sweet Annabella,Sarah Bellum,Awesome Incentive,Helluva Lady,Skyfly,Esperannna
07-01-2023 13:41:58.007349,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:41:59.398759,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:00.740924,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:02.081703,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:03.404500,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:04.741462,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:06.206223,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:07.648597,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:08.970777,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.068888888888889)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:10.222272,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.1133333333333333)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:11.504676,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:12.860453,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:14.246436,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:15.536143,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:16.797480,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:18.142726,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:19.474042,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:20.829678,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:22.164045,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 1.988)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:23.422721,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.1)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:24.794781,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.077777777777778)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:26.207589,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.342857142857142)","(1.7, 2.18, 2.0542857142857143)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:27.596041,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 16.0, 12.55)","(1.7, 2.18, 2.0542857142857143)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:28.938851,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.0542857142857143)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:30.256008,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.012)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:31.566413,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.012)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:32.936724,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.012)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:34.284398,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.012)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:35.636339,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.012)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:36.922249,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.012)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:38.159349,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.004)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:39.894169,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.004)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:41.376905,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.004)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:42.937625,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.082222222222222)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:44.394360,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.06)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:45.740435,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.06)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:47.171679,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.06)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:48.467975,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.06)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:49.780332,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.06)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:51.015842,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.06)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:52.239246,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:53.552373,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:55.133214,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:56.798948,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:58.144101,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:42:59.422593,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:00.610203,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:01.911663,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
07-01-2023 13:43:03.144231,"(31.0, 220.0, 168.875)","(6.5, 17.0, 11.971428571428572)","(21.0, 210.0, 181.71428571428572)","(31.0, 230.0, 177.75)","(21.0, 230.0, 175.5)","(51.0, 230.0, 164.0)","(8.0, 15.5, 12.55)","(1.7, 2.18, 2.1100000000000003)","(21.0, 230.0, 175.25)","(4.4, 7.0, 6.142857142857142)"
