,Spring Luna,Wheres Johnson,Drink Long Necks,Impact,Times Three,Queen Of Cakes,Ticket To Venus
06-01-2023 15:22:47.956878,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:22:49.563246,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:22:51.113455,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:22:52.753768,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.8785)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:22:54.424491,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:22:56.013275,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:22:57.383094,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:22:58.669756,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:22:59.842696,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
06-01-2023 15:23:01.038495,"(51.0, 550.0, 466.66666666666663)","(5.0, 8.8, 5.107692307692307)","(41.0, 330.0, 181.0)","(2.5, 4.0, 2.504)","(1.8, 2.8, 1.927)","(91.0, 650.0, 555.0)","(12.0, 50.0, 37.5)"
