,Our Girl Daisy,Off Switch,Nova Cascade,Juicy Que,Ripplebrook Snip
11-01-2023 14:14:26.675747,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:27.543751,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:28.447689,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:29.328256,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:30.169589,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:31.007452,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:31.909086,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:32.739661,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:33.522649,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:34.367903,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:35.326990,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:36.142496,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:36.924324,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:37.732680,"(7.0, 24.0, 20.519999999999996)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 13.149999999999999)"
11-01-2023 14:14:38.555851,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:39.360927,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:40.204127,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:41.262317,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:42.107972,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:43.074328,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:43.951598,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:44.775025,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:45.598566,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:46.418351,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:47.233591,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:48.077856,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:48.889472,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:49.704256,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:50.561557,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.366666666666667)"
11-01-2023 14:14:51.404266,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:14:52.248284,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 17.612000000000002)"
11-01-2023 14:14:53.054771,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:14:53.908159,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:14:54.718723,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:14:55.516534,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:14:56.477670,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:14:57.508264,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:14:58.369328,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:14:59.396389,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:00.357083,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:01.321166,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:02.210082,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:03.073271,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:03.944922,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:04.733115,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:05.537291,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:06.370249,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:07.204306,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
11-01-2023 14:15:08.061224,"(7.0, 28.0, 18.82857142857143)","(1.8, 2.94, 2.4175862068965515)","(26.0, 250.0, 192.5)","(2.6, 3.8, 2.747692307692308)","(8.0, 18.5, 11.233333333333333)"
