,Danny Michael,Port O Call,Wellswort,Luck Is Golden,Awkward Morning,Tams Time,Wild Wager,Stay Lit,Que Sera Sir Ralph,Vanisky
09-01-2023 09:01:55.825907,"(9.0, 38.0, 25.142857142857142)","(31.0, 80.0, 49.333333333333336)","(3.0, 4.0, 3.7285714285714286)","(5.5, 6.6, 6.5249999999999995)","(20.0, 55.0, 34.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 116.0)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:01:57.081890,"(9.0, 38.0, 25.142857142857142)","(31.0, 80.0, 49.333333333333336)","(3.0, 3.9, 3.7285714285714286)","(5.5, 6.6, 6.5249999999999995)","(20.0, 55.0, 34.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 116.0)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:01:58.369981,"(9.0, 36.0, 24.285714285714285)","(31.0, 80.0, 49.333333333333336)","(3.0, 4.0, 3.6818181818181817)","(5.5, 6.6, 6.5249999999999995)","(20.0, 55.0, 34.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 116.0)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:01:59.578535,"(9.0, 36.0, 24.285714285714285)","(31.0, 80.0, 49.333333333333336)","(3.0, 4.0, 3.6818181818181817)","(5.5, 6.6, 6.5249999999999995)","(20.0, 55.0, 34.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 116.0)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:00.887869,"(9.0, 36.0, 24.285714285714285)","(31.0, 80.0, 49.333333333333336)","(3.0, 4.0, 3.6818181818181817)","(5.5, 6.6, 6.5249999999999995)","(20.0, 55.0, 34.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 116.0)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:02.151515,"(9.0, 36.0, 24.285714285714285)","(31.0, 80.0, 49.333333333333336)","(3.0, 3.95, 3.757142857142857)","(5.5, 6.6, 6.5249999999999995)","(20.0, 55.0, 34.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 116.0)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:03.392019,"(9.0, 36.0, 24.285714285714285)","(31.0, 80.0, 49.333333333333336)","(3.0, 3.95, 3.757142857142857)","(5.5, 6.6, 6.5249999999999995)","(20.0, 55.0, 34.0)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:04.549582,"(9.0, 36.0, 19.333333333333332)","(31.0, 80.0, 61.599999999999994)","(3.0, 4.0, 3.6818181818181817)","(5.5, 6.6, 6.5249999999999995)","(20.0, 50.0, 44.25)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:05.691412,"(9.0, 36.0, 19.333333333333332)","(31.0, 80.0, 61.599999999999994)","(3.0, 4.0, 3.6062499999999997)","(5.5, 6.6, 6.5249999999999995)","(20.0, 50.0, 44.25)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:06.880904,"(9.0, 36.0, 19.333333333333332)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.9, 3.69)","(5.5, 6.6, 6.5249999999999995)","(20.0, 50.0, 44.25)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:08.083317,"(9.0, 36.0, 19.333333333333332)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.85, 3.61)","(5.5, 6.6, 6.5249999999999995)","(20.0, 50.0, 44.25)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:09.289147,"(9.0, 34.0, 19.6)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.85, 3.61)","(5.5, 6.6, 6.5249999999999995)","(20.0, 50.0, 44.25)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:10.542545,"(9.0, 34.0, 19.6)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.85, 3.61)","(5.5, 6.6, 6.5249999999999995)","(20.0, 50.0, 44.25)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:11.799474,"(9.0, 34.0, 19.6)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.85, 3.61)","(5.5, 6.6, 6.5249999999999995)","(20.0, 50.0, 44.25)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:13.074010,"(9.0, 34.0, 19.6)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.8, 3.58125)","(5.5, 6.6, 6.5249999999999995)","(20.0, 50.0, 44.25)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:14.328636,"(9.0, 34.0, 19.6)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.75, 3.59)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:15.548324,"(9.0, 34.0, 19.6)","(31.0, 75.0, 64.75)","(3.0, 3.75, 3.59)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.85)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:16.729047,"(9.0, 34.0, 19.6)","(31.0, 75.0, 64.75)","(3.0, 3.75, 3.59)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:17.880528,"(9.0, 34.0, 19.6)","(31.0, 75.0, 64.75)","(3.0, 3.75, 3.59)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:19.021203,"(9.0, 34.0, 19.6)","(31.0, 75.0, 64.75)","(3.0, 3.7, 3.5666666666666664)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:20.215940,"(9.0, 34.0, 19.6)","(31.0, 75.0, 64.75)","(3.0, 3.7, 3.5666666666666664)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:21.432730,"(9.0, 34.0, 19.6)","(31.0, 95.0, 64.5)","(3.0, 3.7, 3.5666666666666664)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:22.663280,"(9.0, 34.0, 19.6)","(31.0, 90.0, 76.0)","(3.0, 3.75, 3.59)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:23.890860,"(9.0, 34.0, 19.6)","(31.0, 90.0, 76.0)","(3.0, 3.75, 3.59)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:25.132592,"(9.0, 34.0, 25.0)","(31.0, 85.0, 64.6)","(3.0, 3.7, 3.5666666666666664)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:26.291374,"(9.0, 34.0, 25.0)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.7, 3.5666666666666664)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 140.66666666666669)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:27.478733,"(9.0, 34.0, 25.0)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.7, 3.5666666666666664)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 117.0)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:28.641196,"(9.0, 34.0, 25.0)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.85, 3.5999999999999996)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 131.6)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:29.819976,"(9.0, 34.0, 25.0)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.85, 3.5999999999999996)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 131.6)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:30.971464,"(9.0, 34.0, 25.0)","(31.0, 80.0, 61.599999999999994)","(3.0, 3.8, 3.5777777777777775)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 131.6)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:32.170993,"(9.0, 34.0, 25.0)","(31.0, 80.0, 50.666666666666664)","(3.0, 3.8, 3.5777777777777775)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 39.6)","(31.0, 100.0, 75.66666666666666)","(31.0, 190.0, 131.6)","(21.0, 120.0, 74.5)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:33.413033,"(9.0, 34.0, 25.0)","(31.0, 80.0, 50.666666666666664)","(3.0, 3.8, 3.6625)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 37.5)","(31.0, 100.0, 63.5)","(31.0, 190.0, 131.6)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:34.608371,"(9.0, 34.0, 23.714285714285715)","(31.0, 80.0, 50.666666666666664)","(3.0, 3.85, 3.56875)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 37.5)","(31.0, 100.0, 63.5)","(31.0, 190.0, 131.6)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:35.796471,"(9.0, 34.0, 26.727272727272727)","(31.0, 80.0, 50.666666666666664)","(3.0, 3.8, 3.571428571428571)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 33.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 92.66666666666666)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:36.957998,"(9.0, 34.0, 26.727272727272727)","(31.0, 80.0, 50.666666666666664)","(3.0, 3.8, 3.571428571428571)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 33.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 92.66666666666666)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:38.161516,"(9.0, 34.0, 26.727272727272727)","(31.0, 80.0, 50.666666666666664)","(3.0, 3.75, 3.575)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 33.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 92.66666666666666)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
09-01-2023 09:02:39.322933,"(9.0, 34.0, 26.727272727272727)","(31.0, 80.0, 50.666666666666664)","(3.0, 3.75, 3.575)","(5.5, 6.6, 6.5249999999999995)","(20.0, 48.0, 33.0)","(31.0, 100.0, 63.5)","(31.0, 190.0, 92.66666666666666)","(21.0, 120.0, 103.27272727272727)","(4.2, 6.2, 5.92)","(3.7, 4.8, 4.533333333333333)"
