,Laroza Bale,Blackpool Ryan,Coach Fagan,No Tax,Crymelon Comet,Spring Tune,Bahrose,Parlo Bale
07-01-2023 18:42:32.797182,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:33.894824,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:35.009696,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:36.150214,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:37.417109,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:38.533733,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:39.589543,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:40.740172,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 17.3)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:42.134939,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:43.531602,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
07-01-2023 18:42:44.774417,"(3.7, 5.7, 5.43448275862069)","(2.6, 4.1, 3.5719999999999996)","(12.0, 36.0, 24.0)","(11.0, 32.0, 20.153846153846153)","(6.5, 13.0, 9.625)","(5.0, 8.6, 7.64)","(9.0, 18.0, 16.08888888888889)","(31.0, 290.0, 153.46666666666667)"
