,Big Time Lotus,Big Time Polo,Mow Cow,Big Time Ring,Als Casino,Homebush Mandy
07-12-2022_10:32:10,"(3.3, 4.1)","(10.0, 14.0)","(3.3, 4.3)","(3.1, 3.35)","(6.5, 8.4)","(26.0, 48.0)"
07-12-2022_10:32:11,"(3.3, 4.1)","(10.0, 14.0)","(3.3, 4.4)","(3.1, 3.25)","(6.5, 8.4)","(26.0, 48.0)"
07-12-2022_10:32:12,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.4)","(3.1, 3.25)","(6.5, 8.4)","(26.0, 48.0)"
07-12-2022_10:32:14,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.4)","(3.1, 3.25)","(6.5, 8.4)","(26.0, 48.0)"
07-12-2022_10:32:15,"(3.3, 4.1)","(10.0, 14.0)","(3.3, 4.4)","(3.1, 3.25)","(6.5, 8.6)","(26.0, 48.0)"
07-12-2022_10:32:16,"(3.3, 4.1)","(10.0, 14.0)","(3.3, 4.4)","(3.1, 3.25)","(6.5, 8.6)","(26.0, 48.0)"
07-12-2022_10:32:17,"(3.3, 4.1)","(10.0, 14.0)","(3.3, 4.4)","(3.1, 3.25)","(6.5, 8.6)","(26.0, 48.0)"
07-12-2022_10:32:18,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.4)","(3.1, 3.25)","(6.5, 8.4)","(26.0, 48.0)"
07-12-2022_10:32:19,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.3)","(3.1, 3.25)","(6.5, 8.4)","(26.0, 48.0)"
07-12-2022_10:32:21,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.3)","(3.1, 3.45)","(6.5, 8.2)","(26.0, 48.0)"
07-12-2022_10:32:22,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.3)","(3.1, 3.5)","(6.5, 8.0)","(26.0, 48.0)"
07-12-2022_10:32:23,"(3.3, 4.2)","(10.0, 14.0)","(3.3, 4.3)","(3.1, 3.45)","(6.5, 8.0)","(26.0, 48.0)"
