,Bye Bye Blues,Paramount Patti,Wild Bean,Lipinski Pie,Finniss Swell,Bellas Flower
16-12-2022 13:05:45.989203,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.1499999999999995)"
16-12-2022 13:05:46.979082,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:47.849366,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:48.767777,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:49.733661,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:50.705001,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:51.618594,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:52.533310,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:53.546097,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:54.590175,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:55.537179,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.989999999999999)"
16-12-2022 13:05:56.454118,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 121.3125)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:05:57.344032,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 104.35714285714286)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:05:58.232771,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 104.35714285714286)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:05:59.221734,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 104.35714285714286)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:06:00.238039,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 104.35714285714286)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:06:01.146621,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 104.35714285714286)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:06:02.152230,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:06:03.164850,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.2150000000000003)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:06:04.100798,"(3.8, 7.2, 4.247368421052632)","(10.0, 20.0, 15.25)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.3485714285714288)","(4.8, 8.2, 7.966666666666666)"
16-12-2022 13:06:05.093599,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.872727272727272)"
16-12-2022 13:06:06.118397,"(3.8, 7.2, 4.247368421052632)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:07.043301,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
16-12-2022 13:06:08.015995,"(3.8, 7.2, 4.488095238095238)","(10.0, 19.5, 16.5)","(4.6, 7.8, 6.666666666666666)","(31.0, 240.0, 68.18181818181819)","(2.15, 3.15, 2.4507692307692306)","(4.8, 8.2, 7.45)"
