,Velocity Viola,Coco Evie,Shatter,Villain Brand,Go Karts
11-01-2023 21:20:48.006113,"(1.95, 2.52, 2.1342857142857143)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.537857142857143)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:48.978821,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.537857142857143)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:49.964412,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.8042105263157895)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:50.890852,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.680625)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:51.875529,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.680625)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:52.858456,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.680625)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:53.770823,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.680625)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:54.723069,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.680625)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:55.697358,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.7470588235294118)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:56.582144,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.7470588235294118)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
11-01-2023 21:20:57.497765,"(1.95, 2.5, 2.1285714285714286)","(11.0, 24.0, 17.75)","(2.5, 3.55, 2.7470588235294118)","(41.0, 420.0, 108.33333333333334)","(4.4, 7.0, 6.425)"
