,Aston Simpkin,Clover Door,Clover Energy,Kooringa Magic,My Reputation,Star Max,Consort,Bugatti Fierce
12-01-2023 10:15:03.016878,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:04.446318,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:05.737533,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:06.998703,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:08.229359,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:09.400316,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:10.493391,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:11.631952,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:12.839452,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
12-01-2023 10:15:13.998462,"(18.0, 50.0, 45.0)","(8.0, 18.0, 14.842105263157894)","(13.0, 32.0, 30.31818181818182)","(3.0, 4.7, 3.6363636363636362)","(7.0, 14.0, 13.341176470588234)","(4.4, 9.2, 7.5058823529411764)","(8.0, 14.0, 13.823529411764707)","(4.2, 7.0, 6.635135135135135)"
