,Bruce Almighty,Im Full On,Chilli Cherry,Little Wilma,Safety Sam,Two Suns,Wiradjuri Queen,Riley Casey
05-01-2023 16:18:54.679175,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 36.25)","(41.0, 230.0, 136.0)","(31.0, 110.0, 68.5)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:18:55.866015,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 36.25)","(41.0, 230.0, 136.0)","(31.0, 110.0, 68.5)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:18:56.995448,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 36.25)","(41.0, 230.0, 136.0)","(31.0, 110.0, 68.5)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:18:58.015232,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 36.25)","(41.0, 230.0, 136.0)","(31.0, 110.0, 68.5)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:18:59.134142,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 36.25)","(41.0, 230.0, 136.0)","(31.0, 110.0, 68.5)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:00.318663,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 36.25)","(41.0, 230.0, 136.0)","(31.0, 110.0, 68.5)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:01.495036,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 36.25)","(41.0, 230.0, 136.0)","(31.0, 110.0, 68.5)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:02.681203,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:03.906232,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
05-01-2023 16:19:05.062337,"(3.1, 3.55, 3.2928571428571427)","(51.0, 230.0, 136.0)","(4.6, 7.0, 6.52)","(20.0, 60.0, 32.36363636363636)","(41.0, 230.0, 176.28571428571428)","(31.0, 110.0, 58.92307692307693)","(2.7, 4.3, 3.297142857142857)","(3.7, 6.8, 6.44375)"
