,Got The Lot,Perfect Colour,Dr Nightingale,Salad Dodger,Unleash Collinda,Shadow Riot,Oldrik Bale,Center
11-01-2023 19:35:37.665253,"(5.5, 14.0, 11.36)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.8, 6.8)","(1.75, 2.0, 1.8222222222222222)","(4.2, 5.8, 5.0)","(51.0, 430.0, 278.0)","(41.0, 340.0, 142.66666666666669)"
11-01-2023 19:35:38.956657,"(5.5, 14.0, 11.36)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.8, 6.8)","(1.75, 2.0, 1.8222222222222222)","(4.2, 5.8, 5.0)","(51.0, 430.0, 278.0)","(41.0, 340.0, 142.66666666666669)"
11-01-2023 19:35:40.179391,"(5.5, 14.0, 12.3)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.8, 6.8)","(1.75, 2.0, 1.8222222222222222)","(4.2, 5.8, 4.957142857142857)","(51.0, 430.0, 278.0)","(41.0, 340.0, 142.66666666666669)"
11-01-2023 19:35:41.695436,"(5.5, 14.0, 12.690909090909091)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.8, 7.0)","(1.75, 2.0, 1.8222222222222222)","(4.2, 5.7, 5.1)","(51.0, 430.0, 287.85714285714283)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:43.194542,"(5.5, 14.0, 11.866666666666667)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.8, 6.88)","(1.75, 2.0, 1.8222222222222222)","(4.2, 5.7, 5.071428571428571)","(51.0, 420.0, 255.71428571428572)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:45.053238,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.8, 7.3125)","(1.75, 2.0, 1.8222222222222222)","(4.2, 5.7, 4.957142857142857)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:46.431651,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 2.0, 1.8222222222222222)","(4.2, 5.7, 4.957142857142857)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:48.201452,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 2.0, 1.82375)","(4.2, 5.7, 4.957142857142857)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:50.035562,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 1.99, 1.82375)","(4.2, 5.7, 4.914285714285715)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:51.524181,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 1.99, 1.82375)","(4.2, 5.6, 4.914285714285715)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:53.367096,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 1.99, 1.82375)","(4.2, 5.6, 4.914285714285715)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:55.111644,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 1.99, 1.82375)","(4.2, 5.6, 4.914285714285715)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:56.547785,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 1.99, 1.82375)","(4.2, 5.6, 4.914285714285715)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:57.838188,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 1.99, 1.82375)","(4.2, 5.6, 4.914285714285715)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:35:59.156081,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 1.99, 1.82375)","(4.2, 5.6, 4.588571428571429)","(51.0, 410.0, 255.71428571428572)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:36:00.508513,"(5.5, 14.0, 12.872727272727271)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.3125)","(1.75, 1.99, 1.82375)","(4.2, 6.6, 4.871428571428572)","(51.0, 410.0, 266.0)","(41.0, 340.0, 145.33333333333331)"
11-01-2023 19:36:01.816289,"(5.5, 14.0, 12.690909090909091)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.344444444444444)","(1.75, 1.99, 1.82375)","(4.2, 5.5, 4.7)","(51.0, 410.0, 266.0)","(41.0, 340.0, 95.0)"
11-01-2023 19:36:03.206226,"(5.5, 14.0, 12.690909090909091)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.344444444444444)","(1.75, 1.99, 1.7975)","(4.2, 5.5, 4.7)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:04.391330,"(5.5, 14.0, 12.690909090909091)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.344444444444444)","(1.75, 1.99, 1.7975)","(4.2, 5.5, 4.7)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:05.694898,"(5.5, 14.0, 12.690909090909091)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.344444444444444)","(1.75, 1.99, 1.7975)","(4.2, 5.5, 4.7)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:07.028323,"(5.5, 14.0, 12.0)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.344444444444444)","(1.75, 1.99, 1.7975)","(4.2, 5.5, 4.7)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:08.301462,"(5.5, 14.0, 12.0)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.344444444444444)","(1.75, 1.99, 1.7933333333333334)","(4.2, 5.5, 4.7)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:09.587104,"(5.5, 14.0, 12.0)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 5.5, 5.5600000000000005)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:10.899560,"(5.5, 14.0, 12.0)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.2, 5.92)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:12.236772,"(5.5, 14.0, 12.0)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.8, 5.266666666666667)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:13.493754,"(5.5, 14.0, 12.0)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.4, 4.8187500000000005)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:14.711114,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 410.0, 255.71428571428572)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:15.964945,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:17.180610,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:18.540338,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:19.781728,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:21.015723,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 410.0, 266.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:22.232888,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 130.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 410.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:23.478040,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 610.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:24.707113,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:25.954787,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:27.229007,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:28.471379,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 235.29411764705884)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:29.682087,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:30.820356,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:31.977290,"(5.5, 14.0, 10.6)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 214.7058823529412)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:33.180469,"(5.5, 14.0, 12.4)","(15.0, 40.0, 20.416666666666668)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 4.8187500000000005)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:34.508379,"(5.5, 14.0, 12.719999999999999)","(15.0, 40.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.6, 5.125)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:35.779495,"(5.5, 14.0, 12.719999999999999)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.4, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:37.049524,"(5.5, 14.0, 12.719999999999999)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:38.245207,"(5.5, 14.0, 12.719999999999999)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.7933333333333334)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:39.334141,"(5.5, 14.0, 12.719999999999999)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.98, 1.788181818181818)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:40.481799,"(5.5, 14.0, 12.719999999999999)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 330.0, 83.25)"
11-01-2023 19:36:41.685051,"(5.5, 14.0, 12.719999999999999)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 330.0, 93.33333333333334)"
11-01-2023 19:36:42.944467,"(5.5, 14.0, 12.719999999999999)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 320.0, 93.33333333333334)"
11-01-2023 19:36:44.175966,"(5.5, 14.0, 10.0)","(15.0, 38.0, 20.083333333333332)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.16)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 320.0, 96.66666666666666)"
11-01-2023 19:36:45.374368,"(5.5, 14.0, 10.9)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 6.4)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 235.29411764705884)","(41.0, 340.0, 105.0)"
11-01-2023 19:36:46.629521,"(5.5, 14.0, 10.9)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 6.4)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 225.0)","(41.0, 390.0, 114.4)"
11-01-2023 19:36:47.823208,"(5.5, 13.5, 10.65)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 6.4)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.2, 4.8875)","(51.0, 400.0, 214.7058823529412)","(41.0, 380.0, 114.4)"
11-01-2023 19:36:49.062218,"(5.5, 13.5, 10.65)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 6.925)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.2, 5.199999999999999)","(51.0, 400.0, 225.0)","(41.0, 380.0, 112.4)"
11-01-2023 19:36:50.260243,"(5.5, 12.5, 10.15)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 6.3)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.6, 4.9375)","(51.0, 400.0, 225.0)","(41.0, 370.0, 152.0)"
11-01-2023 19:36:51.467744,"(5.5, 12.5, 10.15)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 6.3)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.6, 4.9375)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:36:52.690358,"(5.5, 14.5, 11.15)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 6.3)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.6, 4.9375)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:36:53.911987,"(5.5, 15.0, 9.4)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 6.3)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.6, 4.9375)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
11-01-2023 19:36:55.059335,"(5.5, 14.0, 12.342857142857142)","(15.0, 42.0, 20.75)","(81.0, 600.0, 335.0)","(5.0, 7.6, 7.08)","(1.75, 1.97, 1.788181818181818)","(4.2, 6.6, 4.82)","(51.0, 400.0, 225.0)","(41.0, 360.0, 152.0)"
