,Antique Elsa,Apollo One,Denis The Menace,Maximum Zeal,Kinimakatka,Arts Inferno,Urana Fernando,Queen Sal
15-12-2022 12:52:22.866924,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:24.115319,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:25.352082,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:26.590969,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:27.771124,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:28.982131,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:30.106591,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:31.236712,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:32.333309,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:33.442993,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:34.560899,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:35.681028,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:36.804690,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:37.890739,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:38.988945,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:40.099561,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:41.252356,"(13.0, 34.0, 16.9375)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:42.477597,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:43.649176,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:44.840139,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:46.065530,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
15-12-2022 12:52:47.224988,"(13.0, 34.0, 21.0)","(4.0, 4.7, 4.414285714285715)","(5.5, 8.6, 7.1)","(15.0, 36.0, 29.5)","(7.5, 13.0, 10.857142857142858)","(5.0, 7.6, 5.85)","(13.0, 30.0, 24.833333333333336)","(3.0, 5.1, 3.6384615384615384)"
