,Moonlit Picture,Clover Athena,Lizard,Fernando Diva,Liar For Hire,Sunset Charlie,Integrity Angel
05-01-2023 12:56:11.943855,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:13.170388,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:14.417207,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:15.467164,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:16.529104,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:17.704650,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:18.830361,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:19.896631,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:21.044962,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
05-01-2023 12:56:22.175116,"(2.35, 3.7, 2.5027906976744188)","(21.0, 42.0, 38.5)","(31.0, 280.0, 159.0)","(3.5, 4.0, 3.725)","(2.8, 4.2, 3.3933333333333335)","(21.0, 95.0, 58.5)","(8.5, 24.0, 20.0)"
