,Brinktop Lad,Freak On A Lead,Gee Gee True Story,Mr Freeze,Shampz Again,Ziavera,Nevs Boy,Swing King,Zades Stories,Magic Typhoon,Heavens Miracle,Renascence
06-01-2023 14:34:09.930136,"(8.0, 9.0, 8.91044776119403)","(4.4, 5.5, 5.4432)","(8.5, 8.8, 8.889473684210527)","(13.0, 16.0, 16.291208791208792)","(15.0, 22.0, 22.736842105263158)","(31.0, 50.0, 48.23076923076923)","(4.2, 4.8, 4.717351598173516)","(91.0, 190.0, 146.25)","(8.5, 11.5, 11.45418326693227)","(9.0, 11.0, 10.808314087759815)","(21.0, 30.0, 29.5)","(26.0, 36.0, 35.0)"
06-01-2023 14:34:11.543334,"(8.0, 9.0, 8.91044776119403)","(4.4, 5.5, 5.4432)","(8.5, 9.0, 8.907936507936508)","(13.0, 16.5, 16.426470588235293)","(15.0, 23.0, 22.75)","(31.0, 50.0, 48.23076923076923)","(4.2, 4.8, 4.743375680580762)","(91.0, 190.0, 146.25)","(8.5, 11.5, 11.686746987951807)","(9.0, 11.0, 10.80607476635514)","(21.0, 30.0, 29.5)","(26.0, 36.0, 35.0)"
06-01-2023 14:34:13.197844,"(8.0, 9.0, 8.907246376811594)","(4.4, 5.5, 5.451415094339623)","(8.5, 9.0, 8.898039215686275)","(13.0, 16.5, 16.426470588235293)","(15.0, 23.0, 22.710526315789473)","(31.0, 50.0, 48.23076923076923)","(4.2, 4.8, 4.694132653061224)","(91.0, 190.0, 138.46153846153845)","(8.5, 12.0, 11.707865168539326)","(9.0, 11.0, 10.805620608899297)","(21.0, 30.0, 29.5)","(26.0, 36.0, 35.333333333333336)"
06-01-2023 14:34:14.721921,"(8.0, 9.0, 8.9)","(4.6, 5.5, 5.451415094339623)","(8.0, 9.0, 8.678571428571429)","(13.0, 16.5, 16.426470588235293)","(16.0, 23.0, 22.84375)","(31.0, 50.0, 48.16)","(4.2, 4.7, 4.740571428571428)","(91.0, 140.0, 139.56521739130434)","(8.5, 12.0, 11.798913043478262)","(9.0, 11.0, 10.79862700228833)","(21.0, 30.0, 29.473684210526315)","(31.0, 36.0, 35.23076923076923)"
06-01-2023 14:34:16.167035,"(8.0, 9.0, 8.878688524590164)","(4.6, 5.5, 5.445180722891567)","(8.0, 8.8, 8.678571428571429)","(13.0, 16.5, 16.426470588235293)","(16.0, 23.0, 22.84375)","(31.0, 50.0, 48.16)","(4.2, 4.8, 4.740571428571428)","(91.0, 140.0, 139.56521739130434)","(8.5, 12.0, 11.798913043478262)","(9.0, 11.0, 10.79862700228833)","(21.0, 30.0, 29.473684210526315)","(31.0, 38.0, 35.23076923076923)"
06-01-2023 14:34:17.822671,"(8.0, 9.0, 8.874576271186442)","(4.6, 5.4, 5.396116504854369)","(8.0, 8.8, 8.623140495867768)","(13.0, 16.5, 16.426470588235293)","(16.0, 23.0, 22.84375)","(31.0, 50.0, 48.36363636363637)","(4.2, 4.8, 4.724025974025974)","(91.0, 140.0, 138.57142857142858)","(8.5, 12.0, 11.879396984924623)","(9.0, 11.0, 10.79862700228833)","(21.0, 30.0, 29.625)","(31.0, 38.0, 38.111111111111114)"
06-01-2023 14:34:19.417243,"(8.0, 9.0, 8.972972972972974)","(4.6, 5.4, 5.408333333333333)","(8.5, 8.8, 8.62672064777328)","(13.0, 16.5, 16.436708860759495)","(16.0, 23.0, 22.91176470588235)","(31.0, 50.0, 48.24)","(4.2, 4.8, 4.7390625)","(91.0, 140.0, 139.0)","(8.5, 12.0, 11.56)","(9.0, 11.0, 10.795348837209302)","(21.0, 30.0, 29.666666666666668)","(31.0, 40.0, 38.111111111111114)"
06-01-2023 14:34:20.993628,"(8.0, 9.0, 8.972972972972974)","(4.6, 5.5, 5.4)","(8.0, 8.8, 8.636641221374047)","(13.0, 16.5, 16.436708860759495)","(16.0, 23.0, 22.91176470588235)","(31.0, 50.0, 48.2)","(4.2, 4.8, 4.738378378378378)","(91.0, 140.0, 139.0)","(9.0, 12.0, 11.541666666666666)","(9.0, 11.0, 10.795348837209302)","(21.0, 30.0, 29.666666666666668)","(31.0, 40.0, 38.111111111111114)"
06-01-2023 14:34:22.565928,"(8.0, 9.0, 9.04)","(4.6, 5.4, 5.3931818181818185)","(8.0, 8.8, 8.631496062992127)","(13.0, 16.5, 16.153846153846153)","(16.0, 23.0, 22.885714285714286)","(31.0, 50.0, 47.629629629629626)","(4.2, 4.8, 4.726923076923077)","(91.0, 140.0, 145.65217391304347)","(9.0, 12.0, 11.521739130434783)","(9.0, 11.0, 10.795348837209302)","(21.0, 30.0, 29.666666666666668)","(31.0, 40.0, 38.111111111111114)"
06-01-2023 14:34:24.101775,"(8.0, 9.2, 9.113043478260868)","(4.6, 5.4, 5.392741935483872)","(8.0, 8.8, 8.635200000000001)","(13.0, 17.0, 16.153846153846153)","(16.0, 24.0, 23.333333333333332)","(31.0, 48.0, 47.523809523809526)","(4.2, 4.8, 4.724778761061947)","(91.0, 150.0, 138.57142857142858)","(9.0, 12.0, 11.6)","(9.0, 11.0, 10.795348837209302)","(21.0, 30.0, 29.666666666666668)","(31.0, 40.0, 38.111111111111114)"
