,Chicks Love Me,Emerley Bruce,Butterfly Angel,Redevelop,Plant Road,Emerley Poida,Faux Allie,Shes Driven
11-01-2023 13:09:52.090489,"(9.0, 15.0, 14.090909090909092)","(1.8, 2.14, 2.1131914893617023)","(4.2, 4.4, 4.584615384615384)","(19.0, 23.0, 21.142857142857142)","(31.0, 75.0, 73.63636363636364)","(4.6, 7.0, 6.628571428571429)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 74.375)"
11-01-2023 13:09:53.093766,"(9.0, 14.5, 14.090909090909092)","(1.8, 2.12, 2.1131914893617023)","(4.2, 4.6, 4.584615384615384)","(19.0, 22.0, 21.142857142857142)","(31.0, 75.0, 73.63636363636364)","(4.6, 6.8, 6.628571428571429)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 72.72727272727272)"
11-01-2023 13:09:54.196154,"(9.0, 15.0, 14.535714285714286)","(1.8, 2.12, 2.1131914893617023)","(4.2, 4.6, 4.547826086956522)","(19.0, 21.0, 20.823529411764707)","(31.0, 75.0, 73.63636363636364)","(4.6, 6.8, 6.6)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 74.66666666666667)"
11-01-2023 13:09:55.285844,"(9.0, 15.0, 14.777777777777779)","(1.8, 2.12, 2.1131914893617023)","(4.2, 4.6, 4.547826086956522)","(19.0, 21.0, 20.529411764705884)","(31.0, 75.0, 73.63636363636364)","(4.6, 6.8, 6.6)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 74.66666666666667)"
11-01-2023 13:09:56.258125,"(9.0, 15.0, 14.625)","(1.8, 2.12, 2.1131914893617023)","(4.2, 4.6, 4.547826086956522)","(19.0, 21.0, 20.529411764705884)","(31.0, 75.0, 73.63636363636364)","(4.6, 6.8, 6.6)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 74.66666666666667)"
11-01-2023 13:09:57.256508,"(9.0, 15.0, 14.666666666666666)","(1.8, 2.12, 2.1131914893617023)","(4.2, 4.6, 4.547826086956522)","(19.0, 21.0, 20.5625)","(31.0, 75.0, 73.63636363636364)","(4.6, 6.8, 6.6)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 74.66666666666667)"
11-01-2023 13:09:58.346225,"(9.0, 15.0, 14.666666666666666)","(1.8, 2.12, 2.1171428571428574)","(4.2, 4.6, 4.537931034482758)","(19.0, 21.0, 20.818181818181817)","(31.0, 75.0, 73.63636363636364)","(4.6, 6.8, 6.6)","(41.0, 130.0, 97.6923076923077)","(31.0, 80.0, 71.78571428571428)"
11-01-2023 13:09:59.361863,"(9.0, 15.0, 14.476190476190476)","(1.8, 2.12, 2.1100000000000003)","(4.2, 4.6, 4.525490196078431)","(19.0, 22.0, 21.41176470588235)","(31.0, 75.0, 74.0625)","(4.6, 6.8, 6.625)","(41.0, 130.0, 110.0)","(31.0, 75.0, 71.78571428571428)"
11-01-2023 13:10:00.488608,"(9.0, 15.0, 14.368421052631579)","(1.8, 2.12, 2.101818181818182)","(4.2, 4.6, 4.519148936170213)","(19.0, 24.0, 23.75)","(31.0, 75.0, 72.0)","(4.6, 6.8, 6.676923076923077)","(41.0, 130.0, 97.6923076923077)","(31.0, 95.0, 73.33333333333333)"
11-01-2023 13:10:01.596646,"(9.0, 15.0, 14.368421052631579)","(1.8, 2.1, 2.0916129032258066)","(4.2, 4.6, 4.519148936170213)","(19.0, 26.0, 25.5)","(31.0, 75.0, 72.0)","(4.6, 6.8, 6.676923076923077)","(41.0, 130.0, 108.18181818181819)","(31.0, 80.0, 73.33333333333333)"
