,Oreilly Mcluke,Ring Of Honour,Alpine Affair,Lucky Bucky,Gee Gee Als Prince,Power Magnum,Sparkling One,Tiltherewarsyou,Copper Charm
11-01-2023 14:33:44.458680,"(5.0, 7.2, 6.72)","(13.0, 25.0, 22.166666666666664)","(12.0, 19.0, 16.375)","(20.0, 34.0, 29.555555555555557)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 41.66666666666667)","(4.2, 6.2, 5.575)"
11-01-2023 14:33:45.878788,"(5.0, 7.2, 6.72)","(13.0, 25.0, 22.166666666666664)","(12.0, 19.0, 16.375)","(20.0, 34.0, 29.555555555555557)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 85.0, 62.0)","(4.2, 6.2, 5.575)"
11-01-2023 14:33:47.265454,"(5.0, 7.2, 6.72)","(13.0, 25.0, 22.166666666666664)","(12.0, 19.0, 16.375)","(20.0, 34.0, 29.555555555555557)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 68.88888888888889)","(4.2, 6.2, 5.575)"
11-01-2023 14:33:48.611057,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 22.166666666666664)","(12.0, 19.0, 16.375)","(20.0, 34.0, 29.555555555555557)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 68.88888888888889)","(4.2, 6.2, 5.527272727272727)"
11-01-2023 14:33:49.960612,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 68.88888888888889)","(4.2, 6.0, 5.52)"
11-01-2023 14:33:51.250621,"(5.0, 7.2, 6.909090909090909)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 75.0, 62.0)","(4.2, 6.0, 5.52)"
11-01-2023 14:33:52.449583,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 62.0)","(4.2, 6.0, 5.4)"
11-01-2023 14:33:53.722100,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 62.0)","(4.2, 6.0, 5.4)"
11-01-2023 14:33:54.993190,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 62.0)","(4.2, 6.0, 5.4)"
11-01-2023 14:33:56.224142,"(5.0, 7.2, 6.72)","(13.0, 25.0, 23.583333333333336)","(12.0, 19.0, 16.375)","(20.0, 34.0, 31.333333333333332)","(7.0, 11.0, 9.218181818181819)","(4.0, 4.8, 4.5200000000000005)","(5.0, 9.6, 8.485714285714286)","(17.0, 90.0, 62.0)","(4.2, 6.0, 5.236363636363636)"
