,Windsors Champion,Missing Link,Salsa Rita,Captain Sam,Ms Headley
15-12-2022 12:27:32.955984,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:33.781467,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:34.682072,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:35.548924,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:36.348288,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:37.149369,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:38.051838,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:39.089726,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:39.940962,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
15-12-2022 12:27:40.803906,"(2.15, 2.86, 2.814285714285714)","(4.8, 7.2, 6.771428571428571)","(9.0, 25.0, 22.285714285714285)","(3.7, 5.6, 5.466666666666667)","(3.0, 4.2, 4.174647887323943)"
