,Flyin Disco,Telkem Jay,Miss Willoughby,Bonnie Pauline,No Noney,Morissette,Spinner Of Yarns,Alexandra Thegreat,Your Grace
11-01-2023 16:18:04.238389,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:05.621175,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:07.136276,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:08.653593,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:09.990215,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:11.353459,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:12.642588,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:13.915457,"(4.6, 7.4, 4.485714285714286)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:15.302954,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
11-01-2023 16:18:16.605942,"(4.6, 7.2, 4.564705882352941)","(1.75, 2.68, 1.868235294117647)","(6.5, 12.0, 10.84)","(71.0, 220.0, 193.33333333333334)","(41.0, 160.0, 98.0)","(5.5, 10.5, 9.616666666666667)","(21.0, 70.0, 47.72727272727273)","(26.0, 85.0, 34.166666666666664)","(17.0, 30.0, 28.541666666666664)"
